DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT,CONF_STATUS,BASE_PER
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO19,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO27,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO41,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO50,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO52,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO63,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO66,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO73,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO76,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO88,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CR05,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CR06,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FI19,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FI1B,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FI1D,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FRY5,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),EL54,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),ISL,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),IS01,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),IS02,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),KR04,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),KR05,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
