FREQ,REF_AREA,VALUE,UNIT_MEASURE,UNIT_MULT,BREAKS,COVERAGE,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,XM,R,628,0,,,,2008-Q4,103.7411,A,F,
Q,XM,R,628,0,,,,2009-Q1,102.7679,A,F,
Q,XM,R,628,0,,,,2009-Q2,100.6342,A,F,
Q,XM,R,628,0,,,,2009-Q3,100.8944,A,F,
Q,XM,R,628,0,,,,2009-Q4,100.3745,A,F,
Q,XM,R,628,0,,,,2010-Q1,100.0369,A,F,
Q,XM,R,628,0,,,,2010-Q2,99.6551,A,F,
Q,XM,R,628,0,,,,2010-Q3,100.4513,A,F,
Q,XM,R,628,0,,,,2010-Q4,99.8588,A,F,
Q,XM,R,628,0,,,,2011-Q1,99.1674,A,F,
Q,XM,R,628,0,,,,2011-Q2,98.002,A,F,
Q,XM,R,628,0,,,,2011-Q3,98.5139,A,F,
Q,XM,R,628,0,,,,2011-Q4,96.4065,A,F,
Q,XM,R,628,0,,,,2012-Q1,95.606,A,F,
Q,XM,R,628,0,,,,2012-Q2,94.0402,A,F,
Q,XM,R,628,0,,,,2012-Q3,93.5617,A,F,
Q,XM,R,628,0,,,,2012-Q4,92.2724,A,F,
Q,XM,R,628,0,,,,2013-Q1,91.2287,A,F,
Q,XM,R,628,0,,,,2013-Q2,90.4983,A,F,
Q,XM,R,628,0,,,,2013-Q3,91.1691,A,F,
Q,XM,R,628,0,,,,2013-Q4,90.2891,A,F,
Q,XM,R,628,0,,,,2014-Q1,90.5643,A,F,
Q,XM,R,628,0,,,,2014-Q2,90.6939,A,F,
Q,XM,R,628,0,,,,2014-Q3,91.5952,A,F,
Q,XM,R,628,0,,,,2014-Q4,90.937,A,F,
Q,XM,R,628,0,,,,2015-Q1,91.8446,A,F,
Q,XM,R,628,0,,,,2015-Q2,91.5772,A,F,
Q,XM,R,628,0,,,,2015-Q3,92.8423,A,F,
Q,XM,R,628,0,,,,2015-Q4,93.1921,A,F,
Q,XM,R,628,0,,,,2016-Q1,95.034,A,F,
Q,XM,R,628,0,,,,2016-Q2,95.1254,A,F,
Q,XM,R,628,0,,,,2016-Q3,96.6541,A,F,
Q,XM,R,628,0,,,,2016-Q4,96.7118,A,F,
Q,XM,R,628,0,,,,2017-Q1,97.5164,A,F,
Q,XM,R,628,0,,,,2017-Q2,97.7526,A,F,
Q,XM,R,628,0,,,,2017-Q3,99.3986,A,F,
Q,XM,R,628,0,,,,2017-Q4,99.8304,A,F,
Q,XM,R,628,0,,,,2018-Q1,101.0668,A,F,
Q,XM,R,628,0,,,,2018-Q2,100.8435,A,F,
Q,XM,R,628,0,,,,2018-Q3,102.1876,A,F,
Q,XM,R,628,0,,,,2018-Q4,102.683,A,F,
Q,XM,R,628,0,,,,2019-Q1,103.8146,A,F,
Q,XM,R,628,0,,,,2019-Q2,103.8079,A,F,
Q,XM,R,628,0,,,,2019-Q3,105.3541,A,F,
Q,XM,R,628,0,,,,2019-Q4,106.0551,A,F,
Q,XM,R,628,0,,,,2020-Q1,107.9209,A,F,
Q,XM,R,628,0,,,,2020-Q2,108.8648,A,F,
Q,XM,R,628,0,,,,2020-Q3,110.8878,A,F,
Q,XM,R,628,0,,,,2020-Q4,112.6584,A,F,
Q,XM,R,628,0,,,,2021-Q1,113.3928,A,F,
