geo,variant,year,population,net_migration,olddep,PC_Y0_14,PC_Y15_64,share65
HU,NMIGR,2062,8010352.0,0.0,56.0,14.0,55.1,30.9
HU,NMIGR,2063,7965587.0,0.0,56.1,14.0,55.1,30.9
HU,NMIGR,2064,7920304.0,0.0,56.0,14.0,55.1,30.9
HU,NMIGR,2065,7874624.0,0.0,55.9,14.0,55.2,30.799999999999997
HU,NMIGR,2066,7828695.0,0.0,55.9,13.9,55.2,30.89999999999999
HU,NMIGR,2067,7782659.0,0.0,55.9,13.9,55.2,30.89999999999999
HU,NMIGR,2068,7736700.0,0.0,55.9,13.9,55.2,30.89999999999999
HU,NMIGR,2069,7690972.0,0.0,55.7,13.9,55.3,30.799999999999997
HU,NMIGR,2070,7645676.0,0.0,55.6,13.9,55.4,30.699999999999996
IE,BSL,2023,5174288.0,33324.0,23.2,19.4,65.4,15.199999999999989
IE,BSL,2024,5225872.0,14314.0,23.6,18.9,65.6,15.5
IE,BSL,2025,5257383.0,15187.0,24.1,18.4,65.8,15.799999999999997
IE,BSL,2026,5289027.0,15976.0,24.6,17.9,65.9,16.19999999999999
IE,BSL,2027,5320882.0,16700.0,25.1,17.4,66.0,16.599999999999994
IE,BSL,2028,5353001.0,16837.0,25.6,17.0,66.1,16.900000000000006
IE,BSL,2029,5384987.0,16940.0,26.2,16.6,66.1,17.30000000000001
IE,BSL,2030,5416927.0,16978.0,26.8,16.3,66.0,17.700000000000003
IE,BSL,2031,5448839.0,16972.0,27.3,16.0,65.9,18.099999999999994
IE,BSL,2032,5480752.0,16918.0,27.9,15.8,65.9,18.299999999999997
IE,BSL,2033,5512649.0,16829.0,28.4,15.6,65.7,18.700000000000003
IE,BSL,2034,5544510.0,19723.0,29.0,15.4,65.6,19.0
IE,BSL,2035,5579300.0,19283.0,29.6,15.3,65.4,19.299999999999997
IE,BSL,2036,5613640.0,18813.0,30.4,15.2,65.0,19.799999999999997
IE,BSL,2037,5647461.0,18345.0,31.1,15.2,64.7,20.099999999999994
IE,BSL,2038,5680696.0,18304.0,31.9,15.1,64.4,20.5
IE,BSL,2039,5713719.0,18081.0,32.7,15.2,63.9,20.9
IE,BSL,2040,5746237.0,17801.0,33.6,15.2,63.5,21.299999999999997
IE,BSL,2041,5778101.0,17459.0,34.5,15.3,63.0,21.700000000000003
IE,BSL,2042,5809118.0,17190.0,35.4,15.4,62.5,22.099999999999994
IE,BSL,2043,5839214.0,16949.0,36.3,15.5,62.0,22.5
IE,BSL,2044,5868260.0,17019.0,37.3,15.5,61.5,23.0
IE,BSL,2045,5896376.0,16674.0,38.5,15.6,61.0,23.400000000000006
IE,BSL,2046,5922998.0,16000.0,39.6,15.6,60.4,24.000000000000007
IE,BSL,2047,5947651.0,15404.0,40.7,15.7,59.9,24.4
IE,BSL,2048,5970284.0,14765.0,41.7,15.7,59.5,24.799999999999997
IE,BSL,2049,5990781.0,14119.0,42.5,15.7,59.2,25.099999999999994
IE,BSL,2050,6009043.0,13705.0,43.2,15.6,58.9,25.500000000000007
IE,BSL,2051,6025282.0,13179.0,43.9,15.6,58.7,25.700000000000003
IE,BSL,2052,6039347.0,12756.0,44.5,15.5,58.5,26.0
IE,BSL,2053,6051381.0,12536.0,44.9,15.4,58.4,26.199999999999996
IE,BSL,2054,6061631.0,12211.0,45.3,15.3,58.3,26.400000000000006
IE,BSL,2055,6070015.0,11995.0,45.6,15.1,58.3,26.60000000000001
IE,BSL,2056,6076778.0,11817.0,45.9,15.0,58.3,26.700000000000003
IE,BSL,2057,6081984.0,11657.0,46.1,14.8,58.3,26.900000000000006
IE,BSL,2058,6085790.0,11506.0,46.3,14.7,58.3,27.0
IE,BSL,2059,6088310.0,11364.0,46.5,14.5,58.4,27.1
IE,BSL,2060,6089682.0,11240.0,46.7,14.3,58.4,27.300000000000004
IE,BSL,2061,6090048.0,11155.0,46.9,14.2,58.4,27.4
IE,BSL,2062,6089576.0,11448.0,47.1,14.0,58.4,27.6
IE,BSL,2063,6088758.0,11506.0,47.4,13.9,58.4,27.699999999999996
IE,BSL,2064,6087491.0,11583.0,47.8,13.8,58.3,27.900000000000006
IE,BSL,2065,6085867.0,11572.0,48.2,13.7,58.2,28.099999999999994
IE,BSL,2066,6083927.0,11670.0,48.7,13.6,58.1,28.300000000000004
IE,BSL,2067,6081835.0,11754.0,49.1,13.5,58.0,28.5
IE,BSL,2068,6079653.0,11795.0,49.6,13.5,57.8,28.700000000000003
IE,BSL,2069,6077389.0,11822.0,50.1,13.5,57.7,28.799999999999997
IE,BSL,2070,6075058.0,11930.0,50.6,13.5,57.5,29.0
IE,HMIGR,2023,5174288.0,51915.0,23.2,19.4,65.4,15.199999999999989
IE,HMIGR,2024,5244642.0,28405.0,23.5,18.9,65.6,15.5
IE,HMIGR,2025,5290717.0,28661.0,23.9,18.4,65.9,15.699999999999989
IE,HMIGR,2026,5336613.0,28835.0,24.4,17.9,66.0,16.099999999999994
IE,HMIGR,2027,5382368.0,28934.0,24.8,17.4,66.2,16.39999999999999
IE,HMIGR,2028,5428036.0,28924.0,25.3,17.0,66.3,16.700000000000003
IE,HMIGR,2029,5473675.0,28849.0,25.7,16.6,66.3,17.10000000000001
IE,HMIGR,2030,5519337.0,28725.0,26.3,16.3,66.3,17.400000000000006
IE,HMIGR,2031,5565072.0,28534.0,26.8,16.1,66.2,17.700000000000003
IE,HMIGR,2032,5610897.0,28310.0,27.2,15.8,66.2,18.0
IE,HMIGR,2033,5656761.0,28057.0,27.7,15.6,66.1,18.30000000000001
IE,HMIGR,2034,5702635.0,30884.0,28.2,15.5,65.9,18.599999999999994
IE,HMIGR,2035,5751588.0,30255.0,28.8,15.4,65.7,18.89999999999999
IE,HMIGR,2036,5800108.0,29584.0,29.4,15.4,65.4,19.19999999999999
IE,HMIGR,2037,5848074.0,28935.0,30.1,15.3,65.1,19.60000000000001
IE,HMIGR,2038,5895444.0,28292.0,30.8,15.3,64.8,19.900000000000006
