ccaa,anyo,ipv_general,salario_medio_anual,salario_idx,ratio_asequibilidad
Cantabria,2010,134.886,21156.79,96.79724534367092,1.3934900680396223
Cantabria,2011,122.397,20931.68,95.76731462642535,1.278066535304381
Cantabria,2012,105.107,20191.51,92.38086436218276,1.1377572695999458
Cantabria,2013,95.561,20052.12,91.74312262402427,1.0416148618749541
Cantabria,2014,97.211,21199.83,96.99416337516774,1.0022355636389537
Cantabria,2015,100.0,21856.81,100.0,1.0
Cantabria,2016,102.547,22063.02,100.94345881215054,1.0158855383669143
Cantabria,2017,106.683,22390.4,102.44129861585473,1.0414061656915465
Cantabria,2018,112.938,22554.83,103.19360419018146,1.0944282922017146
Cantabria,2019,116.423,23347.52,106.82034569546059,1.089895368171866
Cantabria,2020,117.829,23495.12,107.49565009715508,1.096128074889594
Cantabria,2021,124.303,24470.7,111.95915597930349,1.1102531000053124
Cantabria,2022,136.343,25291.14,115.71286020238085,1.1782873551093387
Cantabria,2023,143.358,26568.7,121.55799496815867,1.179338307098202
Cantabria,2024,156.313,27097.17,123.97586839067547,1.260834080285875
Castilla - La Mancha,2008,149.222,19736.37,95.48062339899035,1.56285112819632
Castilla - La Mancha,2009,144.77,20228.79,97.86285318968292,1.4793151362488808
Castilla - La Mancha,2010,143.137,20363.01,98.51218279145935,1.452987802564552
Castilla - La Mancha,2011,133.946,20664.9,99.97266642638924,1.3398262223867523
Castilla - La Mancha,2012,118.443,20536.42,99.35110580028108,1.1921658953459269
Castilla - La Mancha,2013,100.52,20630.07,99.80416583013032,1.0071723876845788
Castilla - La Mancha,2014,97.846,20644.88,99.87581365759499,0.9796766245674472
Castilla - La Mancha,2015,100.0,20670.55,100.0,1.0
Castilla - La Mancha,2016,100.838,20825.87,100.75140719526088,1.0008594699285072
Castilla - La Mancha,2017,101.582,21033.32,101.75500893783669,0.9982997501583201
Castilla - La Mancha,2018,103.975,21756.38,105.25302906792516,0.9878575554618919
Castilla - La Mancha,2019,107.643,21908.92,105.99098717740941,1.0155863518831598
Castilla - La Mancha,2020,109.029,22575.01,109.21339780508985,0.9983115825640829
Castilla - La Mancha,2021,111.669,23234.55,112.40412083858435,0.9934600187866777
Castilla - La Mancha,2022,118.284,23751.71,114.9060378170876,1.0293976038777841
Castilla - La Mancha,2023,120.268,24885.63,120.39171671774578,0.998972381812315
Castilla - La Mancha,2024,128.032,26062.05,126.08300214556458,1.0154580539903808
Castilla y León,2008,152.999,20218.21,94.93855682495857,1.6115580973290908
Castilla y León,2009,148.896,21037.13,98.78395574776604,1.5072893049574723
Castilla y León,2010,144.791,20960.87,98.42586201229334,1.471066618465741
Castilla y León,2011,135.8,21029.37,98.74751715102765,1.3752244503758317
Castilla y León,2012,117.855,20569.14,96.58641723132405,1.2202026266047097
Castilla y León,2013,101.215,20440.56,95.98264470959472,1.0545135561354484
Castilla y León,2014,98.774,20524.83,96.3783509656698,1.0248567132590134
Castilla y León,2015,100.0,21296.1,100.0,1.0
Castilla y León,2016,101.056,21551.57,101.19960931813807,0.998580930113212
Castilla y León,2017,102.71,21846.88,102.5862951432422,1.0012058614319297
Castilla y León,2018,106.921,22034.53,103.46744239555599,1.0333782059794332
Castilla y León,2019,112.083,22061.44,103.5938035602763,1.0819469519215428
Castilla y León,2020,114.719,22948.76,107.76038805227248,1.0645748597745586
Castilla y León,2021,118.8,23564.33,110.65091730410734,1.0736467703516288
Castilla y León,2022,125.987,24186.89,113.57426946717943,1.1092917488358363
Castilla y León,2023,129.538,25227.03,118.4584501387578,1.0935311060398312
Castilla y León,2024,139.706,26177.28,122.92053474579853,1.1365554200436407
Cataluña,2008,162.199,23375.54,96.1103251147027,1.687633454641048
Cataluña,2009,143.716,23851.31,98.06648995110102,1.4654955028130532
Cataluña,2010,139.892,24449.19,100.52471941572851,1.391617910630168
Cataluña,2011,126.522,24499.32,100.7308327546289,1.2560404450164333
Cataluña,2012,106.514,24436.39,100.47209123424187,1.060135194674827
Cataluña,2013,94.337,24253.73,99.7210706381208,0.9460086960191278
Cataluña,2014,95.396,23927.17,98.37839415794292,0.9696844598504546
Cataluña,2015,100.0,24321.57,100.0,1.0
Cataluña,2016,107.02,24454.64,100.54712750862711,1.0643765033547825
Cataluña,2017,117.26,25180.45,103.5313509777535,1.1326037851587243
Cataluña,2018,127.548,25552.84,105.0624610171136,1.2140206765118868
Cataluña,2019,134.144,25968.2,106.77024550635505,1.2563799901725958
Cataluña,2020,136.892,27100.11,111.42418026467864,1.2285663639151279
Cataluña,2021,141.623,28145.02,115.72040785196023,1.2238377191098102
Cataluña,2022,151.701,28774.55,118.30876871846678,1.2822464610463065
Cataluña,2023,157.01,29978.69,123.25968266028879,1.273814734966738
Cataluña,2024,168.592,31730.05,130.4605335921982,1.2922835386140268
Comunitat Valenciana,2008,145.206,19793.62,94.54613021669984,1.5358217165227988
Comunitat Valenciana,2009,137.298,20489.79,97.87145319819388,1.4028401082587962
Comunitat Valenciana,2010,133.02,20707.24,98.9101240434269,1.3448572761024646
Comunitat Valenciana,2011,123.154,21316.34,101.81954879316908,1.209531975536138
Comunitat Valenciana,2012,106.444,21223.72,101.37714045246786,1.0499802965926803
Comunitat Valenciana,2013,96.84,20878.02,99.72587114367477,0.9710619610480304
Comunitat Valenciana,2014,97.659,20639.58,98.5869395440548,0.990587601680848
Comunitat Valenciana,2015,100.0,20935.41,100.0,1.0
Comunitat Valenciana,2016,102.612,21168.81,101.11485755473622,1.0148063546888086
Comunitat Valenciana,2017,105.385,21362.39,102.03951104850586,1.0327862111168273
Comunitat Valenciana,2018,109.676,22121.05,105.66332352698132,1.0379760577187793
Comunitat Valenciana,2019,114.306,22045.66,105.30321593892835,1.0854939137499173
Comunitat Valenciana,2020,116.814,22856.7,109.17722652673152,1.0699484106367059
Comunitat Valenciana,2021,121.866,23448.29,112.00301307688744,1.0880600142099914
Comunitat Valenciana,2022,130.636,24510.34,117.07599707863376,1.1158222288062916
Comunitat Valenciana,2023,135.921,25632.37,122.43548132088169,1.1101438776866908
Comunitat Valenciana,2024,148.233,26816.98,128.09388495376973,1.157221518056843
