ccaa,anyo,ipc_media_anual
Ceuta,2009,19.1879375
Ceuta,2010,19.816958333333336
Ceuta,2011,20.54275
Ceuta,2012,20.904208333333333
Ceuta,2013,20.238604166666665
Ceuta,2014,19.9851875
Ceuta,2015,19.650875
Ceuta,2016,20.06525
Ceuta,2017,20.653625
Ceuta,2018,20.813354166666667
Ceuta,2019,20.604291666666665
Ceuta,2020,20.207354166666665
Ceuta,2021,22.536541666666665
Ceuta,2022,25.9434375
Ceuta,2023,25.463979166666665
Ceuta,2024,25.22854166666667
Ceuta,2025,26.4523125
Ceuta,2026,26.275000000000002
Comunitat Valenciana,2001,15.487
Comunitat Valenciana,2002,16.67439583333333
Comunitat Valenciana,2003,16.578770833333333
Comunitat Valenciana,2004,17.320729166666666
Comunitat Valenciana,2005,17.994333333333334
Comunitat Valenciana,2006,18.4095625
Comunitat Valenciana,2007,18.957020833333335
Comunitat Valenciana,2008,19.664854166666668
Comunitat Valenciana,2009,18.218645833333333
Comunitat Valenciana,2010,19.318229166666665
Comunitat Valenciana,2011,20.1789375
Comunitat Valenciana,2012,20.62625
Comunitat Valenciana,2013,20.019020833333332
Comunitat Valenciana,2014,19.434458333333335
Comunitat Valenciana,2015,19.610937500000002
Comunitat Valenciana,2016,19.575375
Comunitat Valenciana,2017,20.413541666666667
Comunitat Valenciana,2018,20.967833333333335
Comunitat Valenciana,2019,20.621354166666666
Comunitat Valenciana,2020,20.016604166666667
Comunitat Valenciana,2021,22.856624999999998
Comunitat Valenciana,2022,26.202916666666667
Comunitat Valenciana,2023,25.177020833333334
Comunitat Valenciana,2024,25.523791666666668
Comunitat Valenciana,2025,26.314395833333332
Comunitat Valenciana,2026,26.687166666666666
Extremadura,2001,15.7815
Extremadura,2002,16.870979166666668
Extremadura,2003,16.763666666666666
Extremadura,2004,17.334416666666666
Extremadura,2005,17.91875
Extremadura,2006,18.357229166666666
Extremadura,2007,18.957125
Extremadura,2008,19.75975
Extremadura,2009,18.184604166666666
Extremadura,2010,19.491104166666666
Extremadura,2011,20.361583333333332
Extremadura,2012,20.685979166666666
Extremadura,2013,20.147291666666668
Extremadura,2014,19.403229166666666
Extremadura,2015,19.334020833333334
Extremadura,2016,19.656854166666665
Extremadura,2017,20.24566666666667
Extremadura,2018,20.8308125
Extremadura,2019,20.5623125
Extremadura,2020,20.114729166666667
Extremadura,2021,22.953166666666664
Extremadura,2022,26.590958333333333
Extremadura,2023,24.858833333333333
Extremadura,2024,25.564875
Extremadura,2025,26.177562499999997
Extremadura,2026,26.626583333333333
Galicia,2001,15.106
Galicia,2002,16.538729166666666
Galicia,2003,16.3959375
Galicia,2004,17.106083333333334
Galicia,2005,17.78275
Galicia,2006,18.209541666666667
Galicia,2007,18.5118125
Galicia,2008,19.421458333333334
Galicia,2009,17.811291666666666
Galicia,2010,19.111333333333334
Galicia,2011,20.052291666666665
Galicia,2012,20.265229166666668
Galicia,2013,19.945854166666667
Galicia,2014,19.372125
Galicia,2015,19.228395833333334
Galicia,2016,19.464645833333332
Galicia,2017,20.34241666666667
Galicia,2018,20.74502083333333
Galicia,2019,20.5113125
Galicia,2020,19.9038125
Galicia,2021,22.894479166666667
Galicia,2022,26.5895
Galicia,2023,25.218958333333333
Galicia,2024,25.664125
Galicia,2025,25.989874999999998
Galicia,2026,26.833166666666667
"Madrid, Comunidad de",2001,15.8005
"Madrid, Comunidad de",2002,16.867437499999998
"Madrid, Comunidad de",2003,16.874416666666665
"Madrid, Comunidad de",2004,17.484083333333334
"Madrid, Comunidad de",2005,18.114791666666665
"Madrid, Comunidad de",2006,18.65972916666667
"Madrid, Comunidad de",2007,19.10408333333333
"Madrid, Comunidad de",2008,19.8345625
"Madrid, Comunidad de",2009,18.506729166666666
"Madrid, Comunidad de",2010,19.6680625
"Madrid, Comunidad de",2011,20.4706875
"Madrid, Comunidad de",2012,20.774041666666665
"Madrid, Comunidad de",2013,20.327458333333333
"Madrid, Comunidad de",2014,19.7978125
"Madrid, Comunidad de",2015,19.862729166666664
"Madrid, Comunidad de",2016,19.974333333333334
"Madrid, Comunidad de",2017,20.741375
"Madrid, Comunidad de",2018,21.266854166666665
