geo,year,variable,value,flag
ES,2016,te_gf0601,0.1,
ES,2017,te_gf0601,0.1,
ES,2018,te_gf0601,0.1,
ES,2019,te_gf0601,0.2,
ES,2020,te_gf0601,0.2,covid
ES,2021,te_gf0601,0.2,covid
ES,2022,te_gf0601,0.2,covid
ES,2023,te_gf0601,0.2,
FI,2001,te_gf0601,0.1,
FI,2002,te_gf0601,0.1,
FI,2003,te_gf0601,0.0,
FI,2004,te_gf0601,0.0,
FI,2005,te_gf0601,-0.1,neg_asset_sale
FI,2006,te_gf0601,-0.1,neg_asset_sale
FI,2007,te_gf0601,0.0,
FI,2008,te_gf0601,0.1,
FI,2009,te_gf0601,0.1,
FI,2010,te_gf0601,0.1,
FI,2011,te_gf0601,0.2,
FI,2012,te_gf0601,0.1,
FI,2013,te_gf0601,0.1,
FI,2014,te_gf0601,0.1,
FI,2015,te_gf0601,0.0,
FI,2016,te_gf0601,0.0,
FI,2017,te_gf0601,0.0,
FI,2018,te_gf0601,0.0,
FI,2019,te_gf0601,0.0,
FI,2020,te_gf0601,0.0,covid
FI,2021,te_gf0601,0.0,covid
FI,2022,te_gf0601,0.0,covid
FI,2023,te_gf0601,0.2,
FR,1995,te_gf0601,0.3,
FR,1996,te_gf0601,0.2,
FR,1997,te_gf0601,0.2,
FR,1998,te_gf0601,0.2,
FR,1999,te_gf0601,0.2,
FR,2000,te_gf0601,0.2,
FR,2001,te_gf0601,0.2,
FR,2002,te_gf0601,0.3,
FR,2003,te_gf0601,0.2,
FR,2004,te_gf0601,0.2,
FR,2005,te_gf0601,0.2,
FR,2006,te_gf0601,0.3,
FR,2007,te_gf0601,0.3,
FR,2008,te_gf0601,0.4,
FR,2009,te_gf0601,0.5,
FR,2010,te_gf0601,0.5,
FR,2011,te_gf0601,0.5,
FR,2012,te_gf0601,0.5,
FR,2013,te_gf0601,0.4,
FR,2014,te_gf0601,0.4,
FR,2015,te_gf0601,0.4,
FR,2016,te_gf0601,0.4,
FR,2017,te_gf0601,0.4,
FR,2018,te_gf0601,0.3,
FR,2019,te_gf0601,0.3,
FR,2020,te_gf0601,0.4,covid
FR,2021,te_gf0601,0.4,covid
FR,2022,te_gf0601,0.3,covid
FR,2023,te_gf0601,0.3,
HR,1995,te_gf0601,0.1,
HR,1996,te_gf0601,0.1,
HR,1997,te_gf0601,0.1,
HR,1998,te_gf0601,0.1,
HR,1999,te_gf0601,0.1,
HR,2000,te_gf0601,0.1,
HR,2001,te_gf0601,0.2,
