iso3,precio_renta_2015_100,artificial_2022_km2,artificial_2000_2022_pct,real_desde_2000_pct,real_desde_2015_pct,lucas_artificial_pct
TWN,,2217.35,199.74,,,
TZA,,1667.66,283.66,,,
UGA,,834.33,260.53,,,
UKC,,608.52,39.34,,,
UKD,,1567.33,18.14,,,
UKE,,1249.29,33.07,,,
UKF,,1128.3,46.91,,,
UKG,,1232.51,25.41,,,
UKH,,1371.28,44.7,,,
UKI,,1116.57,9.25,,,
UKJ,,1974.69,35.14,,,
UKK,,1134.89,49.51,,,
UKL,,738.14,53.78,,,
UKM,,1237.76,24.96,,,
UKN,,380.17,78.77,,,
UKR,,25490.39,80.61,,,
URY,,651.78,66.05,,,
USA,126.85,149702.65,51.42,60.79,35.83,
UZB,,5780.41,631.14,,,
VAT,,0.51,0.0,,,
VCT,,7.79,69.23,,,
VEN,,3431.57,70.03,,,
VGB,,12.27,81.4,,,
VIR,,59.94,32.05,,,
VNM,,4335.91,260.94,,,
VUT,,4.43,0.0,,,
WLF,,0.5,0.0,,,
WSM,,0.45,0.0,,,
YEM,,523.91,392.06,,,
ZAF,90.05,10477.06,157.29,66.38,-10.8,
ZMB,,1264.17,214.23,,,
ZWE,,963.76,130.94,,,
