ccaa,anyo,quarter,variable,valor
Aragón,2011,2,transacciones_n,119.0
Aragón,2011,3,transacciones_n,68.0
Aragón,2011,4,transacciones_n,89.0
Aragón,2012,1,transacciones_n,89.0
Aragón,2012,2,transacciones_n,73.0
Aragón,2012,3,transacciones_n,112.0
Aragón,2012,4,transacciones_n,90.0
Aragón,2013,1,transacciones_n,67.0
Aragón,2013,2,transacciones_n,77.0
Aragón,2013,3,transacciones_n,64.0
Aragón,2013,4,transacciones_n,77.0
Aragón,2014,1,transacciones_n,71.0
Aragón,2014,2,transacciones_n,93.0
Aragón,2014,3,transacciones_n,119.0
Aragón,2014,4,transacciones_n,93.0
Aragón,2015,1,transacciones_n,50.0
Aragón,2015,2,transacciones_n,72.0
Aragón,2015,3,transacciones_n,77.0
Aragón,2015,4,transacciones_n,94.0
Aragón,2016,1,transacciones_n,73.0
Aragón,2016,2,transacciones_n,105.0
Aragón,2016,3,transacciones_n,57.0
Aragón,2016,4,transacciones_n,105.0
Aragón,2017,1,transacciones_n,110.0
Aragón,2017,2,transacciones_n,73.0
Aragón,2017,3,transacciones_n,77.0
Aragón,2017,4,transacciones_n,127.0
Aragón,2018,1,transacciones_n,91.0
Aragón,2018,2,transacciones_n,102.0
Aragón,2018,3,transacciones_n,120.0
Aragón,2018,4,transacciones_n,103.0
Aragón,2019,1,transacciones_n,92.0
Aragón,2019,2,transacciones_n,87.0
Aragón,2019,3,transacciones_n,102.0
Aragón,2019,4,transacciones_n,95.0
Aragón,2020,1,transacciones_n,57.0
Aragón,2020,2,transacciones_n,53.0
Aragón,2020,3,transacciones_n,93.0
Aragón,2020,4,transacciones_n,151.0
Aragón,2021,1,transacciones_n,139.0
Aragón,2021,2,transacciones_n,157.0
Aragón,2021,3,transacciones_n,147.0
Aragón,2021,4,transacciones_n,201.0
Aragón,2022,1,transacciones_n,135.0
Aragón,2022,2,transacciones_n,139.0
Aragón,2022,3,transacciones_n,174.0
Aragón,2022,4,transacciones_n,135.0
Aragón,2023,1,transacciones_n,142.0
Aragón,2023,2,transacciones_n,161.0
Aragón,2023,3,transacciones_n,103.0
Aragón,2023,4,transacciones_n,165.0
Aragón,2024,1,transacciones_n,304.0
Aragón,2024,2,transacciones_n,133.0
Aragón,2024,3,transacciones_n,126.0
Aragón,2024,4,transacciones_n,300.0
Aragón,2025,1,transacciones_n,164.0
Aragón,2025,2,transacciones_n,175.0
Aragón,2025,3,transacciones_n,193.0
Aragón,2025,4,transacciones_n,261.0
Aragón,2026,1,transacciones_n,183.0
Aragón,2026,2,transacciones_n,-29.9
Aragón,2026,3,transacciones_n,11.6
"Asturias, Principado de",2004,1,transacciones_n,143.0
"Asturias, Principado de",2004,2,transacciones_n,194.0
"Asturias, Principado de",2004,3,transacciones_n,146.0
"Asturias, Principado de",2004,4,transacciones_n,254.0
"Asturias, Principado de",2005,1,transacciones_n,169.0
"Asturias, Principado de",2005,2,transacciones_n,195.0
"Asturias, Principado de",2005,3,transacciones_n,170.0
"Asturias, Principado de",2005,4,transacciones_n,174.0
"Asturias, Principado de",2006,1,transacciones_n,115.0
"Asturias, Principado de",2006,2,transacciones_n,112.0
"Asturias, Principado de",2006,3,transacciones_n,134.0
"Asturias, Principado de",2006,4,transacciones_n,138.0
"Asturias, Principado de",2007,1,transacciones_n,111.0
"Asturias, Principado de",2007,2,transacciones_n,129.0
"Asturias, Principado de",2007,3,transacciones_n,126.0
"Asturias, Principado de",2007,4,transacciones_n,90.0
"Asturias, Principado de",2008,1,transacciones_n,118.0
"Asturias, Principado de",2008,2,transacciones_n,125.0
"Asturias, Principado de",2008,3,transacciones_n,167.0
"Asturias, Principado de",2008,4,transacciones_n,132.0
"Asturias, Principado de",2009,1,transacciones_n,98.0
"Asturias, Principado de",2009,2,transacciones_n,89.0
"Asturias, Principado de",2009,3,transacciones_n,39.0
"Asturias, Principado de",2009,4,transacciones_n,48.0
"Asturias, Principado de",2010,1,transacciones_n,49.0
"Asturias, Principado de",2010,2,transacciones_n,87.0
"Asturias, Principado de",2010,3,transacciones_n,46.0
"Asturias, Principado de",2010,4,transacciones_n,61.0
"Asturias, Principado de",2011,1,transacciones_n,48.0
"Asturias, Principado de",2011,2,transacciones_n,35.0
"Asturias, Principado de",2011,3,transacciones_n,41.0
"Asturias, Principado de",2011,4,transacciones_n,49.0
"Asturias, Principado de",2012,1,transacciones_n,33.0
"Asturias, Principado de",2012,2,transacciones_n,46.0
"Asturias, Principado de",2012,3,transacciones_n,50.0
"Asturias, Principado de",2012,4,transacciones_n,55.0
"Asturias, Principado de",2013,1,transacciones_n,18.0
"Asturias, Principado de",2013,2,transacciones_n,24.0
"Asturias, Principado de",2013,3,transacciones_n,23.0
"Asturias, Principado de",2013,4,transacciones_n,58.0
"Asturias, Principado de",2014,1,transacciones_n,19.0
"Asturias, Principado de",2014,2,transacciones_n,42.0
"Asturias, Principado de",2014,3,transacciones_n,34.0
"Asturias, Principado de",2014,4,transacciones_n,41.0
"Asturias, Principado de",2015,1,transacciones_n,24.0
"Asturias, Principado de",2015,2,transacciones_n,31.0
"Asturias, Principado de",2015,3,transacciones_n,35.0
"Asturias, Principado de",2015,4,transacciones_n,30.0
"Asturias, Principado de",2016,1,transacciones_n,44.0
"Asturias, Principado de",2016,2,transacciones_n,37.0
"Asturias, Principado de",2016,3,transacciones_n,39.0
"Asturias, Principado de",2016,4,transacciones_n,48.0
"Asturias, Principado de",2017,1,transacciones_n,42.0
"Asturias, Principado de",2017,2,transacciones_n,46.0
"Asturias, Principado de",2017,3,transacciones_n,38.0
"Asturias, Principado de",2017,4,transacciones_n,50.0
"Asturias, Principado de",2018,1,transacciones_n,39.0
"Asturias, Principado de",2018,2,transacciones_n,30.0
"Asturias, Principado de",2018,3,transacciones_n,63.0
"Asturias, Principado de",2018,4,transacciones_n,57.0
"Asturias, Principado de",2019,1,transacciones_n,49.0
"Asturias, Principado de",2019,2,transacciones_n,38.0
"Asturias, Principado de",2019,3,transacciones_n,38.0
"Asturias, Principado de",2019,4,transacciones_n,58.0
"Asturias, Principado de",2020,1,transacciones_n,20.0
"Asturias, Principado de",2020,2,transacciones_n,21.0
"Asturias, Principado de",2020,3,transacciones_n,42.0
"Asturias, Principado de",2020,4,transacciones_n,110.0
"Asturias, Principado de",2021,1,transacciones_n,62.0
"Asturias, Principado de",2021,2,transacciones_n,86.0
"Asturias, Principado de",2021,3,transacciones_n,72.0
"Asturias, Principado de",2021,4,transacciones_n,98.0
"Asturias, Principado de",2022,1,transacciones_n,108.0
"Asturias, Principado de",2022,2,transacciones_n,139.0
"Asturias, Principado de",2022,3,transacciones_n,62.0
"Asturias, Principado de",2022,4,transacciones_n,83.0
"Asturias, Principado de",2023,1,transacciones_n,53.0
"Asturias, Principado de",2023,2,transacciones_n,93.0
"Asturias, Principado de",2023,3,transacciones_n,44.0
"Asturias, Principado de",2023,4,transacciones_n,113.0
"Asturias, Principado de",2024,1,transacciones_n,72.0
"Asturias, Principado de",2024,2,transacciones_n,71.0
"Asturias, Principado de",2024,3,transacciones_n,62.0
"Asturias, Principado de",2024,4,transacciones_n,68.0
"Asturias, Principado de",2025,1,transacciones_n,84.0
"Asturias, Principado de",2025,2,transacciones_n,136.0
"Asturias, Principado de",2025,3,transacciones_n,72.0
"Asturias, Principado de",2025,4,transacciones_n,82.0
"Asturias, Principado de",2026,1,transacciones_n,81.0
"Asturias, Principado de",2026,2,transacciones_n,-1.2
"Asturias, Principado de",2026,3,transacciones_n,-3.6
"Balears, Illes",2004,1,transacciones_n,677.0
"Balears, Illes",2004,2,transacciones_n,729.0
"Balears, Illes",2004,3,transacciones_n,688.0
"Balears, Illes",2004,4,transacciones_n,862.0
"Balears, Illes",2005,1,transacciones_n,627.0
"Balears, Illes",2005,2,transacciones_n,793.0
"Balears, Illes",2005,3,transacciones_n,758.0
"Balears, Illes",2005,4,transacciones_n,591.0
"Balears, Illes",2006,1,transacciones_n,490.0
"Balears, Illes",2006,2,transacciones_n,520.0
"Balears, Illes",2006,3,transacciones_n,468.0
"Balears, Illes",2006,4,transacciones_n,561.0
"Balears, Illes",2007,1,transacciones_n,367.0
"Balears, Illes",2007,2,transacciones_n,442.0
"Balears, Illes",2007,3,transacciones_n,364.0
"Balears, Illes",2007,4,transacciones_n,348.0
"Balears, Illes",2008,1,transacciones_n,212.0
"Balears, Illes",2008,2,transacciones_n,201.0
"Balears, Illes",2008,3,transacciones_n,148.0
"Balears, Illes",2008,4,transacciones_n,167.0
"Balears, Illes",2009,1,transacciones_n,175.0
"Balears, Illes",2009,2,transacciones_n,130.0
"Balears, Illes",2009,3,transacciones_n,131.0
"Balears, Illes",2009,4,transacciones_n,135.0
"Balears, Illes",2010,1,transacciones_n,90.0
"Balears, Illes",2010,2,transacciones_n,116.0
"Balears, Illes",2010,3,transacciones_n,79.0
"Balears, Illes",2010,4,transacciones_n,152.0
"Balears, Illes",2011,1,transacciones_n,69.0
"Balears, Illes",2011,2,transacciones_n,104.0
"Balears, Illes",2011,3,transacciones_n,58.0
"Balears, Illes",2011,4,transacciones_n,104.0
"Balears, Illes",2012,1,transacciones_n,74.0
"Balears, Illes",2012,2,transacciones_n,95.0
"Balears, Illes",2012,3,transacciones_n,105.0
"Balears, Illes",2012,4,transacciones_n,111.0
"Balears, Illes",2013,1,transacciones_n,60.0
"Balears, Illes",2013,2,transacciones_n,94.0
"Balears, Illes",2013,3,transacciones_n,100.0
"Balears, Illes",2013,4,transacciones_n,123.0
"Balears, Illes",2014,1,transacciones_n,97.0
"Balears, Illes",2014,2,transacciones_n,131.0
"Balears, Illes",2014,3,transacciones_n,138.0
"Balears, Illes",2014,4,transacciones_n,156.0
"Balears, Illes",2015,1,transacciones_n,91.0
"Balears, Illes",2015,2,transacciones_n,116.0
"Balears, Illes",2015,3,transacciones_n,147.0
"Balears, Illes",2015,4,transacciones_n,150.0
"Balears, Illes",2016,1,transacciones_n,98.0
"Balears, Illes",2016,2,transacciones_n,213.0
"Balears, Illes",2016,3,transacciones_n,131.0
"Balears, Illes",2016,4,transacciones_n,206.0
"Balears, Illes",2017,1,transacciones_n,177.0
"Balears, Illes",2017,2,transacciones_n,194.0
"Balears, Illes",2017,3,transacciones_n,225.0
"Balears, Illes",2017,4,transacciones_n,245.0
"Balears, Illes",2018,1,transacciones_n,188.0
"Balears, Illes",2018,2,transacciones_n,223.0
"Balears, Illes",2018,3,transacciones_n,189.0
"Balears, Illes",2018,4,transacciones_n,213.0
"Balears, Illes",2019,1,transacciones_n,148.0
"Balears, Illes",2019,2,transacciones_n,108.0
"Balears, Illes",2019,3,transacciones_n,156.0
"Balears, Illes",2019,4,transacciones_n,177.0
"Balears, Illes",2020,1,transacciones_n,121.0
"Balears, Illes",2020,2,transacciones_n,51.0
"Balears, Illes",2020,3,transacciones_n,72.0
"Balears, Illes",2020,4,transacciones_n,171.0
"Balears, Illes",2021,1,transacciones_n,170.0
"Balears, Illes",2021,2,transacciones_n,216.0
"Balears, Illes",2021,3,transacciones_n,230.0
"Balears, Illes",2021,4,transacciones_n,251.0
"Balears, Illes",2022,1,transacciones_n,257.0
"Balears, Illes",2022,2,transacciones_n,211.0
"Balears, Illes",2022,3,transacciones_n,206.0
"Balears, Illes",2022,4,transacciones_n,175.0
"Balears, Illes",2023,1,transacciones_n,163.0
"Balears, Illes",2023,2,transacciones_n,206.0
"Balears, Illes",2023,3,transacciones_n,132.0
"Balears, Illes",2023,4,transacciones_n,192.0
"Balears, Illes",2024,1,transacciones_n,145.0
"Balears, Illes",2024,2,transacciones_n,162.0
"Balears, Illes",2024,3,transacciones_n,160.0
"Balears, Illes",2024,4,transacciones_n,93.0
"Balears, Illes",2025,1,transacciones_n,147.0
"Balears, Illes",2025,2,transacciones_n,168.0
"Balears, Illes",2025,3,transacciones_n,147.0
"Balears, Illes",2025,4,transacciones_n,153.0
"Balears, Illes",2026,1,transacciones_n,134.0
"Balears, Illes",2026,2,transacciones_n,-12.4
"Balears, Illes",2026,3,transacciones_n,-8.8
Canarias,2004,1,transacciones_n,650.0
Canarias,2004,2,transacciones_n,846.0
Canarias,2004,3,transacciones_n,633.0
Canarias,2004,4,transacciones_n,762.0
Canarias,2005,1,transacciones_n,684.0
Canarias,2005,2,transacciones_n,992.0
Canarias,2005,3,transacciones_n,696.0
Canarias,2005,4,transacciones_n,490.0
Canarias,2006,1,transacciones_n,672.0
Canarias,2006,2,transacciones_n,592.0
Canarias,2006,3,transacciones_n,494.0
Canarias,2006,4,transacciones_n,581.0
Canarias,2007,1,transacciones_n,503.0
Canarias,2007,2,transacciones_n,436.0
Canarias,2007,3,transacciones_n,355.0
Canarias,2007,4,transacciones_n,279.0
Canarias,2008,1,transacciones_n,216.0
Canarias,2008,2,transacciones_n,191.0
Canarias,2008,3,transacciones_n,166.0
Canarias,2008,4,transacciones_n,149.0
Canarias,2009,1,transacciones_n,153.0
Canarias,2009,2,transacciones_n,131.0
Canarias,2009,3,transacciones_n,144.0
Canarias,2009,4,transacciones_n,159.0
Canarias,2010,1,transacciones_n,112.0
Canarias,2010,2,transacciones_n,136.0
Canarias,2010,3,transacciones_n,155.0
Canarias,2010,4,transacciones_n,156.0
Canarias,2011,1,transacciones_n,106.0
Canarias,2011,2,transacciones_n,170.0
Canarias,2011,3,transacciones_n,95.0
Canarias,2011,4,transacciones_n,109.0
Canarias,2012,1,transacciones_n,69.0
Canarias,2012,2,transacciones_n,83.0
Canarias,2012,3,transacciones_n,78.0
Canarias,2012,4,transacciones_n,118.0
Canarias,2013,1,transacciones_n,72.0
Canarias,2013,2,transacciones_n,97.0
Canarias,2013,3,transacciones_n,84.0
Canarias,2013,4,transacciones_n,88.0
Canarias,2014,1,transacciones_n,95.0
Canarias,2014,2,transacciones_n,91.0
Canarias,2014,3,transacciones_n,102.0
Canarias,2014,4,transacciones_n,257.0
Canarias,2015,1,transacciones_n,99.0
Canarias,2015,2,transacciones_n,101.0
