iso3,medida,anyo,quarter,valor
SWE,RHP,1983,2,35.1606653393935
SWE,RHP,1983,3,34.5226186837718
SWE,RHP,1983,4,33.9912231088159
SWE,RHP,1984,1,33.6808698203013
SWE,RHP,1984,2,33.4243762303754
SWE,RHP,1984,3,33.1606019915758
SWE,RHP,1984,4,32.9815215722373
SWE,RHP,1985,1,32.5352382556396
SWE,RHP,1985,2,32.4120320326844
SWE,RHP,1985,3,32.2865021881478
SWE,RHP,1985,4,32.325160979769
SWE,RHP,1986,1,32.424664226547
SWE,RHP,1986,2,32.6370257268241
SWE,RHP,1986,3,33.0074690297953
SWE,RHP,1986,4,33.6326762993803
SWE,RHP,1987,1,34.464278795651
SWE,RHP,1987,2,34.8486521737896
SWE,RHP,1987,3,35.2978641581429
SWE,RHP,1987,4,36.4727736551129
SWE,RHP,1988,1,37.4858310219338
SWE,RHP,1988,2,38.5487045131621
SWE,RHP,1988,3,40.0878783188647
SWE,RHP,1988,4,40.9377431516086
SWE,RHP,1989,1,42.684543169998
SWE,RHP,1989,2,43.8168599686227
SWE,RHP,1989,3,44.2850935024904
SWE,RHP,1989,4,44.0344691954544
SWE,RHP,1990,1,45.5119923038147
SWE,RHP,1990,2,44.9488089863494
SWE,RHP,1990,3,44.3132770148238
SWE,RHP,1990,4,43.1856457548372
SWE,RHP,1991,1,43.7237090102729
SWE,RHP,1991,2,42.8593429833902
SWE,RHP,1991,3,42.7019014317108
SWE,RHP,1991,4,42.7648681822783
SWE,RHP,1992,1,40.8117304845264
SWE,RHP,1992,2,39.2214924798809
SWE,RHP,1992,3,37.4542118992097
SWE,RHP,1992,4,34.877872592747
SWE,RHP,1993,1,32.8038031711
SWE,RHP,1993,2,32.1395682839206
SWE,RHP,1993,3,31.5855414052904
SWE,RHP,1993,4,31.985940583337
SWE,RHP,1994,1,32.6421779180267
SWE,RHP,1994,2,32.9969200598694
SWE,RHP,1994,3,32.813823239127
SWE,RHP,1994,4,32.4151780362443
SWE,RHP,1995,1,32.2604869192464
SWE,RHP,1995,2,32.1892794554107
SWE,RHP,1995,3,31.586171707145
SWE,RHP,1995,4,31.4608544094357
SWE,RHP,1996,1,31.568044926179
SWE,RHP,1996,2,31.5904473271321
SWE,RHP,1996,3,31.8533126261712
SWE,RHP,1996,4,32.2473155927253
SWE,RHP,1997,1,32.6548608288263
SWE,RHP,1997,2,33.3719455424405
SWE,RHP,1997,3,33.6992488526046
SWE,RHP,1997,4,34.2471724483139
SWE,RHP,1998,1,35.2504998841854
SWE,RHP,1998,2,36.0458094592555
SWE,RHP,1998,3,36.8537639329411
SWE,RHP,1998,4,37.9209661475202
SWE,RHP,1999,1,38.1259152817127
SWE,RHP,1999,2,39.0420229415254
SWE,RHP,1999,3,39.8145415425302
SWE,RHP,1999,4,40.5452511352681
SWE,RHP,2000,1,41.5972459002312
SWE,RHP,2000,2,43.0207232994768
SWE,RHP,2000,3,44.0817894924134
SWE,RHP,2000,4,44.9473902869989
SWE,RHP,2001,1,45.9404159832414
SWE,RHP,2001,2,45.5752056545294
SWE,RHP,2001,3,46.0556825737525
SWE,RHP,2001,4,45.9249236539118
SWE,RHP,2002,1,46.7333908325908
SWE,RHP,2002,2,47.4594398971757
SWE,RHP,2002,3,48.6119358723346
SWE,RHP,2002,4,49.0432826306106
SWE,RHP,2003,1,48.9802509769382
SWE,RHP,2003,2,49.895174169548
SWE,RHP,2003,3,50.2792005418071
SWE,RHP,2003,4,51.4402488054539
SWE,RHP,2004,1,52.6989014435539
SWE,RHP,2004,2,54.1854341178319
SWE,RHP,2004,3,54.9582518533224
SWE,RHP,2004,4,56.4719856753692
SWE,RHP,2005,1,56.7908470773507
