freq,unit,sector,cofog99,na_item,geo,time,value
A,PC_GDP,S13,GF1002,TE,CH,2008,6.1
A,PC_GDP,S13,GF1002,TE,CH,2009,6.1
A,PC_GDP,S13,GF1002,TE,CH,2010,6.1
A,PC_GDP,S13,GF1002,TE,CH,2011,6.3
A,PC_GDP,S13,GF1002,TE,CH,2012,6.3
A,PC_GDP,S13,GF1002,TE,CH,2013,6.9
A,PC_GDP,S13,GF1002,TE,CH,2014,6.7
A,PC_GDP,S13,GF1002,TE,CH,2015,6.6
A,PC_GDP,S13,GF1002,TE,CH,2016,6.6
A,PC_GDP,S13,GF1002,TE,CH,2017,6.5
A,PC_GDP,S13,GF1002,TE,CH,2018,6.4
A,PC_GDP,S13,GF1002,TE,CH,2019,6.5
A,PC_GDP,S13,GF1002,TE,CH,2020,7.5
A,PC_GDP,S13,GF1002,TE,CH,2021,6.4
A,PC_GDP,S13,GF1002,TE,CH,2022,6.1
A,PC_GDP,S13,GF1002,TE,CH,2023,6.4
A,PC_GDP,S13,GF1002,TE,CH,2024,6.2
A,PC_GDP,S13,GF1002,TE,CY,1995,4.3
A,PC_GDP,S13,GF1002,TE,CY,1996,4.5
A,PC_GDP,S13,GF1002,TE,CY,1997,4.8
A,PC_GDP,S13,GF1002,TE,CY,1998,4.8
A,PC_GDP,S13,GF1002,TE,CY,1999,4.9
A,PC_GDP,S13,GF1002,TE,CY,2000,5.0
A,PC_GDP,S13,GF1002,TE,CY,2001,4.9
A,PC_GDP,S13,GF1002,TE,CY,2002,5.2
A,PC_GDP,S13,GF1002,TE,CY,2003,5.7
A,PC_GDP,S13,GF1002,TE,CY,2004,5.9
A,PC_GDP,S13,GF1002,TE,CY,2005,6.1
A,PC_GDP,S13,GF1002,TE,CY,2006,5.9
A,PC_GDP,S13,GF1002,TE,CY,2007,5.6
A,PC_GDP,S13,GF1002,TE,CY,2008,5.6
A,PC_GDP,S13,GF1002,TE,CY,2009,6.4
A,PC_GDP,S13,GF1002,TE,CY,2010,6.6
A,PC_GDP,S13,GF1002,TE,CY,2011,7.1
A,PC_GDP,S13,GF1002,TE,CY,2012,7.8
A,PC_GDP,S13,GF1002,TE,CY,2013,8.6
A,PC_GDP,S13,GF1002,TE,CY,2014,8.4
A,PC_GDP,S13,GF1002,TE,CY,2015,8.3
A,PC_GDP,S13,GF1002,TE,CY,2016,7.8
A,PC_GDP,S13,GF1002,TE,CY,2017,7.6
