freq,mortalit,sex,icd10,unit,geo,time,value
A,PRVT,T,TOTAL,RT,RS,2022,257.6
A,PRVT,T,TOTAL,RT,RS,2023,215.59
A,PRVT,T,TOTAL,RT,SE,2011,127.65
A,PRVT,T,TOTAL,RT,SE,2012,125.76
A,PRVT,T,TOTAL,RT,SE,2013,126.59
A,PRVT,T,TOTAL,RT,SE,2014,123.92
A,PRVT,T,TOTAL,RT,SE,2015,122.39
A,PRVT,T,TOTAL,RT,SE,2016,121.27
A,PRVT,T,TOTAL,RT,SE,2017,118.07
A,PRVT,T,TOTAL,RT,SE,2018,117.68
A,PRVT,T,TOTAL,RT,SE,2019,110.02
A,PRVT,T,TOTAL,RT,SE,2020,123.33
A,PRVT,T,TOTAL,RT,SE,2021,117.83
A,PRVT,T,TOTAL,RT,SE,2022,110.16
A,PRVT,T,TOTAL,RT,SE,2023,105.71
A,PRVT,T,TOTAL,RT,SI,2011,208.67
A,PRVT,T,TOTAL,RT,SI,2012,203.29
A,PRVT,T,TOTAL,RT,SI,2013,199.64
A,PRVT,T,TOTAL,RT,SI,2014,188.25
A,PRVT,T,TOTAL,RT,SI,2015,192.61
A,PRVT,T,TOTAL,RT,SI,2016,183.98
A,PRVT,T,TOTAL,RT,SI,2017,187.3
A,PRVT,T,TOTAL,RT,SI,2018,175.47
A,PRVT,T,TOTAL,RT,SI,2019,173.38
A,PRVT,T,TOTAL,RT,SI,2020,198.56
A,PRVT,T,TOTAL,RT,SI,2021,211.88
A,PRVT,T,TOTAL,RT,SI,2022,189.21
A,PRVT,T,TOTAL,RT,SI,2023,167.6
A,PRVT,T,TOTAL,RT,SK,2011,280.04
A,PRVT,T,TOTAL,RT,SK,2012,276.16
A,PRVT,T,TOTAL,RT,SK,2013,261.08
A,PRVT,T,TOTAL,RT,SK,2014,252.81
A,PRVT,T,TOTAL,RT,SK,2015,258.27
A,PRVT,T,TOTAL,RT,SK,2016,243.87
A,PRVT,T,TOTAL,RT,SK,2017,238.75
A,PRVT,T,TOTAL,RT,SK,2018,241.32
A,PRVT,T,TOTAL,RT,SK,2019,231.15
A,PRVT,T,TOTAL,RT,SK,2020,262.43
A,PRVT,T,TOTAL,RT,SK,2021,379.27
A,PRVT,T,TOTAL,RT,SK,2022,245.28
A,PRVT,T,TOTAL,RT,SK,2023,204.85
A,PRVT,T,TOTAL,RT,TR,2011,181.74
A,PRVT,T,TOTAL,RT,TR,2012,173.94
A,PRVT,T,TOTAL,RT,TR,2013,199.09
A,PRVT,T,TOTAL,RT,TR,2014,193.31
A,PRVT,T,TOTAL,RT,TR,2015,186.47
A,PRVT,T,TOTAL,RT,TR,2016,187.17
A,PRVT,T,TOTAL,RT,TR,2017,178.26
A,PRVT,T,TOTAL,RT,TR,2018,170.74
A,PRVT,T,TOTAL,RT,TR,2019,154.28
A,PRVT,T,TOTAL,RT,TR,2020,191.19
A,PRVT,T,TOTAL,RT,TR,2021,226.15
A,PRVT,T,TOTAL,RT,TR,2022,163.63
A,PRVT,T,TOTAL,RT,TR,2023,201.58
A,PRVT,T,TOTAL,RT,UK,2011,159.22
A,PRVT,T,TOTAL,RT,UK,2012,156.35
A,PRVT,T,TOTAL,RT,UK,2013,154.73
A,PRVT,T,TOTAL,RT,UK,2014,152.31
A,PRVT,T,TOTAL,RT,UK,2015,153.47
A,PRVT,T,TOTAL,RT,UK,2016,154.22
A,PRVT,T,TOTAL,RT,UK,2017,152.28
A,PRVT,T,TOTAL,RT,UK,2018,150.51
A,TRT,T,TOTAL,RT,AT,2011,81.28
A,TRT,T,TOTAL,RT,AT,2012,79.89
A,TRT,T,TOTAL,RT,AT,2013,78.75
A,TRT,T,TOTAL,RT,AT,2014,77.66
A,TRT,T,TOTAL,RT,AT,2015,79.02
A,TRT,T,TOTAL,RT,AT,2016,77.8
A,TRT,T,TOTAL,RT,AT,2017,76.22
A,TRT,T,TOTAL,RT,AT,2018,75.24
A,TRT,T,TOTAL,RT,AT,2019,73.16
A,TRT,T,TOTAL,RT,AT,2020,70.44
A,TRT,T,TOTAL,RT,AT,2021,71.19
A,TRT,T,TOTAL,RT,AT,2022,69.19
A,TRT,T,TOTAL,RT,AT,2023,68.46
A,TRT,T,TOTAL,RT,BE,2011,82.31
A,TRT,T,TOTAL,RT,BE,2012,82.04
A,TRT,T,TOTAL,RT,BE,2013,81.65
A,TRT,T,TOTAL,RT,BE,2014,74.86
A,TRT,T,TOTAL,RT,BE,2015,73.93
A,TRT,T,TOTAL,RT,BE,2016,71.5
A,TRT,T,TOTAL,RT,BE,2017,70.97
A,TRT,T,TOTAL,RT,BE,2018,69.89
A,TRT,T,TOTAL,RT,BE,2019,65.17
A,TRT,T,TOTAL,RT,BE,2020,62.67
A,TRT,T,TOTAL,RT,BE,2021,61.64
A,TRT,T,TOTAL,RT,BE,2022,62.27
A,TRT,T,TOTAL,RT,BE,2023,58.83
A,TRT,T,TOTAL,RT,BG,2011,195.09
A,TRT,T,TOTAL,RT,BG,2012,206.11
A,TRT,T,TOTAL,RT,BG,2013,192.83
A,TRT,T,TOTAL,RT,BG,2014,200.79
A,TRT,T,TOTAL,RT,BG,2015,197.45
A,TRT,T,TOTAL,RT,BG,2016,194.35
A,TRT,T,TOTAL,RT,BG,2017,191.84
A,TRT,T,TOTAL,RT,BG,2018,188.26
A,TRT,T,TOTAL,RT,BG,2019,188.99
A,TRT,T,TOTAL,RT,BG,2020,212.97
A,TRT,T,TOTAL,RT,BG,2021,225.09
A,TRT,T,TOTAL,RT,BG,2022,194.13
A,TRT,T,TOTAL,RT,BG,2023,185.28
A,TRT,T,TOTAL,RT,CH,2011,62.46
A,TRT,T,TOTAL,RT,CH,2012,59.66
A,TRT,T,TOTAL,RT,CH,2013,57.62
A,TRT,T,TOTAL,RT,CH,2014,56.3
A,TRT,T,TOTAL,RT,CH,2015,55.81
A,TRT,T,TOTAL,RT,CH,2016,52.7
A,TRT,T,TOTAL,RT,CH,2017,51.95
A,TRT,T,TOTAL,RT,CH,2018,51.08
A,TRT,T,TOTAL,RT,CH,2019,49.78
A,TRT,T,TOTAL,RT,CH,2020,48.55
A,TRT,T,TOTAL,RT,CH,2021,46.08
A,TRT,T,TOTAL,RT,CH,2022,46.76
A,TRT,T,TOTAL,RT,CH,2023,42.94
A,TRT,T,TOTAL,RT,CY,2011,79.15
A,TRT,T,TOTAL,RT,CY,2012,84.24
A,TRT,T,TOTAL,RT,CY,2013,74.06
A,TRT,T,TOTAL,RT,CY,2014,73.46
A,TRT,T,TOTAL,RT,CY,2015,79.6
A,TRT,T,TOTAL,RT,CY,2016,71.21
A,TRT,T,TOTAL,RT,CY,2017,73.93
A,TRT,T,TOTAL,RT,CY,2018,78.93
A,TRT,T,TOTAL,RT,CY,2019,77.09
A,TRT,T,TOTAL,RT,CY,2020,70.84
A,TRT,T,TOTAL,RT,CY,2021,78.41
A,TRT,T,TOTAL,RT,CY,2022,70.92
A,TRT,T,TOTAL,RT,CY,2023,62.94
A,TRT,T,TOTAL,RT,CZ,2011,147.74
A,TRT,T,TOTAL,RT,CZ,2012,145.47
A,TRT,T,TOTAL,RT,CZ,2013,142.95
A,TRT,T,TOTAL,RT,CZ,2014,131.86
A,TRT,T,TOTAL,RT,CZ,2015,135.29
A,TRT,T,TOTAL,RT,CZ,2016,128.2
A,TRT,T,TOTAL,RT,CZ,2017,127.23
A,TRT,T,TOTAL,RT,CZ,2018,124.17
A,TRT,T,TOTAL,RT,CZ,2019,120.31
A,TRT,T,TOTAL,RT,CZ,2020,122.85
A,TRT,T,TOTAL,RT,CZ,2021,125.85
A,TRT,T,TOTAL,RT,CZ,2022,113.17
A,TRT,T,TOTAL,RT,CZ,2023,107.19
A,TRT,T,TOTAL,RT,DE,2011,94.48
A,TRT,T,TOTAL,RT,DE,2012,92.0
A,TRT,T,TOTAL,RT,DE,2013,91.54
A,TRT,T,TOTAL,RT,DE,2014,87.42
A,TRT,T,TOTAL,RT,DE,2015,89.37
A,TRT,T,TOTAL,RT,DE,2016,86.92
A,TRT,T,TOTAL,RT,DE,2017,85.51
A,TRT,T,TOTAL,RT,DE,2018,85.36
A,TRT,T,TOTAL,RT,DE,2019,81.75
A,TRT,T,TOTAL,RT,DE,2020,80.84
A,TRT,T,TOTAL,RT,DE,2021,81.27
A,TRT,T,TOTAL,RT,DE,2022,83.38
A,TRT,T,TOTAL,RT,DE,2023,83.32
A,TRT,T,TOTAL,RT,DK,2011,91.23
A,TRT,T,TOTAL,RT,DK,2012,86.9
A,TRT,T,TOTAL,RT,DK,2013,80.42
A,TRT,T,TOTAL,RT,DK,2014,78.03
A,TRT,T,TOTAL,RT,DK,2015,77.81
A,TRT,T,TOTAL,RT,DK,2016,76.03
A,TRT,T,TOTAL,RT,DK,2017,73.16
A,TRT,T,TOTAL,RT,DK,2018,72.97
A,TRT,T,TOTAL,RT,DK,2019,66.16
A,TRT,T,TOTAL,RT,DK,2020,63.47
A,TRT,T,TOTAL,RT,DK,2021,64.25
A,TRT,T,TOTAL,RT,DK,2022,64.04
A,TRT,T,TOTAL,RT,DK,2023,66.11
A,TRT,T,TOTAL,RT,EE,2011,160.97
A,TRT,T,TOTAL,RT,EE,2012,162.69
A,TRT,T,TOTAL,RT,EE,2013,154.29
A,TRT,T,TOTAL,RT,EE,2014,152.33
A,TRT,T,TOTAL,RT,EE,2015,148.24
