freq,unit,rskpovth,age,sex,geo,time,value
A,PC,TOTAL,TOTAL,T,EA18,2018,12.2
A,PC,TOTAL,TOTAL,T,EA18,2019,12.5
A,PC,TOTAL,TOTAL,T,EA18,2020,13.2
A,PC,TOTAL,TOTAL,T,EA19,2005,13.3
A,PC,TOTAL,TOTAL,T,EA19,2006,13.1
A,PC,TOTAL,TOTAL,T,EA19,2007,13.0
A,PC,TOTAL,TOTAL,T,EA19,2008,12.8
A,PC,TOTAL,TOTAL,T,EA19,2009,12.3
A,PC,TOTAL,TOTAL,T,EA19,2010,12.4
A,PC,TOTAL,TOTAL,T,EA19,2011,11.6
A,PC,TOTAL,TOTAL,T,EA19,2012,11.7
A,PC,TOTAL,TOTAL,T,EA19,2013,12.0
A,PC,TOTAL,TOTAL,T,EA19,2014,11.9
A,PC,TOTAL,TOTAL,T,EA19,2015,12.1
A,PC,TOTAL,TOTAL,T,EA19,2016,12.3
A,PC,TOTAL,TOTAL,T,EA19,2017,12.1
A,PC,TOTAL,TOTAL,T,EA19,2018,12.3
A,PC,TOTAL,TOTAL,T,EA19,2019,12.6
A,PC,TOTAL,TOTAL,T,EA19,2020,13.2
A,PC,TOTAL,TOTAL,T,EA19,2021,13.2
A,PC,TOTAL,TOTAL,T,EA20,2014,12.2
A,PC,TOTAL,TOTAL,T,EA20,2015,12.5
A,PC,TOTAL,TOTAL,T,EA20,2016,12.7
A,PC,TOTAL,TOTAL,T,EA20,2017,12.4
A,PC,TOTAL,TOTAL,T,EA20,2018,12.6
A,PC,TOTAL,TOTAL,T,EA20,2019,12.9
A,PC,TOTAL,TOTAL,T,EA20,2020,13.5
A,PC,TOTAL,TOTAL,T,EA20,2021,13.7
A,PC,TOTAL,TOTAL,T,EA20,2022,13.2
A,PC,TOTAL,TOTAL,T,EA20,2023,13.6
A,PC,TOTAL,TOTAL,T,EA20,2024,13.7
A,PC,TOTAL,TOTAL,T,EA20,2025,14.0
A,PC,TOTAL,TOTAL,T,EA21,2014,13.0
A,PC,TOTAL,TOTAL,T,EA21,2015,13.1
A,PC,TOTAL,TOTAL,T,EA21,2016,13.3
A,PC,TOTAL,TOTAL,T,EA21,2017,13.0
A,PC,TOTAL,TOTAL,T,EA21,2018,13.2
A,PC,TOTAL,TOTAL,T,EA21,2019,13.5
A,PC,TOTAL,TOTAL,T,EA21,2020,14.0
A,PC,TOTAL,TOTAL,T,EA21,2021,14.2
A,PC,TOTAL,TOTAL,T,EA21,2022,13.7
A,PC,TOTAL,TOTAL,T,EA21,2023,14.0
A,PC,TOTAL,TOTAL,T,EA21,2024,14.0
A,PC,TOTAL,TOTAL,T,EA21,2025,14.3
A,PC,TOTAL,TOTAL,T,EE,2004,46.6
A,PC,TOTAL,TOTAL,T,EE,2005,46.1
A,PC,TOTAL,TOTAL,T,EE,2006,45.9
A,PC,TOTAL,TOTAL,T,EE,2007,43.5
A,PC,TOTAL,TOTAL,T,EE,2008,41.7
A,PC,TOTAL,TOTAL,T,EE,2009,41.2
A,PC,TOTAL,TOTAL,T,EE,2010,39.7
A,PC,TOTAL,TOTAL,T,EE,2011,14.4
A,PC,TOTAL,TOTAL,T,EE,2012,14.0
A,PC,TOTAL,TOTAL,T,EE,2013,21.1
A,PC,TOTAL,TOTAL,T,EE,2014,14.2
A,PC,TOTAL,TOTAL,T,EE,2015,13.4
A,PC,TOTAL,TOTAL,T,EE,2016,13.4
A,PC,TOTAL,TOTAL,T,EE,2017,13.5
A,PC,TOTAL,TOTAL,T,EE,2018,12.6
A,PC,TOTAL,TOTAL,T,EE,2019,13.9
A,PC,TOTAL,TOTAL,T,EE,2020,12.7
A,PC,TOTAL,TOTAL,T,EE,2021,14.9
A,PC,TOTAL,TOTAL,T,EE,2022,15.7
A,PC,TOTAL,TOTAL,T,EE,2023,17.0
A,PC,TOTAL,TOTAL,T,EE,2024,18.4
A,PC,TOTAL,TOTAL,T,EE,2025,17.9
A,PC,TOTAL,TOTAL,T,EL,2003,31.6
A,PC,TOTAL,TOTAL,T,EL,2004,29.2
A,PC,TOTAL,TOTAL,T,EL,2005,29.2
A,PC,TOTAL,TOTAL,T,EL,2006,29.3
A,PC,TOTAL,TOTAL,T,EL,2007,29.2
A,PC,TOTAL,TOTAL,T,EL,2008,26.7
A,PC,TOTAL,TOTAL,T,EL,2009,25.0
A,PC,TOTAL,TOTAL,T,EL,2010,25.5
A,PC,TOTAL,TOTAL,T,EL,2011,25.9
A,PC,TOTAL,TOTAL,T,EL,2012,26.5
A,PC,TOTAL,TOTAL,T,EL,2013,27.3
A,PC,TOTAL,TOTAL,T,EL,2014,27.4
A,PC,TOTAL,TOTAL,T,EL,2015,28.1
A,PC,TOTAL,TOTAL,T,EL,2016,28.7
A,PC,TOTAL,TOTAL,T,EL,2017,29.0
A,PC,TOTAL,TOTAL,T,EL,2018,29.2
A,PC,TOTAL,TOTAL,T,EL,2019,28.7
A,PC,TOTAL,TOTAL,T,EL,2020,29.0
A,PC,TOTAL,TOTAL,T,EL,2021,28.5
A,PC,TOTAL,TOTAL,T,EL,2022,28.0
A,PC,TOTAL,TOTAL,T,EL,2023,26.9
A,PC,TOTAL,TOTAL,T,EL,2024,27.0
A,PC,TOTAL,TOTAL,T,EL,2025,28.3
A,PC,TOTAL,TOTAL,T,ES,2004,13.6
A,PC,TOTAL,TOTAL,T,ES,2005,8.4
A,PC,TOTAL,TOTAL,T,ES,2006,6.5
A,PC,TOTAL,TOTAL,T,ES,2007,5.8
A,PC,TOTAL,TOTAL,T,ES,2008,5.6
A,PC,TOTAL,TOTAL,T,ES,2009,5.2
A,PC,TOTAL,TOTAL,T,ES,2010,5.0
A,PC,TOTAL,TOTAL,T,ES,2011,6.6
A,PC,TOTAL,TOTAL,T,ES,2012,5.6
A,PC,TOTAL,TOTAL,T,ES,2013,5.2
A,PC,TOTAL,TOTAL,T,ES,2014,5.3
A,PC,TOTAL,TOTAL,T,ES,2015,5.5
A,PC,TOTAL,TOTAL,T,ES,2016,5.4
A,PC,TOTAL,TOTAL,T,ES,2017,5.1
A,PC,TOTAL,TOTAL,T,ES,2018,4.7
A,PC,TOTAL,TOTAL,T,ES,2019,5.9
A,PC,TOTAL,TOTAL,T,ES,2020,7.6
A,PC,TOTAL,TOTAL,T,ES,2021,6.4
A,PC,TOTAL,TOTAL,T,ES,2022,6.6
A,PC,TOTAL,TOTAL,T,ES,2023,7.6
A,PC,TOTAL,TOTAL,T,ES,2024,9.1
A,PC,TOTAL,TOTAL,T,ES,2025,9.5
A,PC,TOTAL,TOTAL,T,EU,2008,18.3
A,PC,TOTAL,TOTAL,T,EU,2009,17.7
A,PC,TOTAL,TOTAL,T,EU,2010,17.7
A,PC,TOTAL,TOTAL,T,EU,2011,17.0
A,PC,TOTAL,TOTAL,T,EU,2012,16.9
A,PC,TOTAL,TOTAL,T,EU,2013,17.0
A,PC,TOTAL,TOTAL,T,EU,2014,16.7
A,PC,TOTAL,TOTAL,T,EU,2015,16.7
A,PC,TOTAL,TOTAL,T,EU,2016,16.6
A,PC,TOTAL,TOTAL,T,EU,2017,15.7
A,PC,TOTAL,TOTAL,T,EU,2018,15.5
A,PC,TOTAL,TOTAL,T,EU,2019,15.6
A,PC,TOTAL,TOTAL,T,EU27_2007,2005,19.5
A,PC,TOTAL,TOTAL,T,EU27_2007,2006,19.1
A,PC,TOTAL,TOTAL,T,EU27_2007,2007,18.7
A,PC,TOTAL,TOTAL,T,EU27_2007,2008,18.3
A,PC,TOTAL,TOTAL,T,EU27_2007,2009,17.7
A,PC,TOTAL,TOTAL,T,EU27_2007,2010,17.5
A,PC,TOTAL,TOTAL,T,EU27_2007,2011,16.8
A,PC,TOTAL,TOTAL,T,EU27_2007,2012,16.7
A,PC,TOTAL,TOTAL,T,EU27_2007,2013,16.8
A,PC,TOTAL,TOTAL,T,EU27_2007,2014,16.5
A,PC,TOTAL,TOTAL,T,EU27_2007,2015,16.5
A,PC,TOTAL,TOTAL,T,EU27_2007,2016,16.4
A,PC,TOTAL,TOTAL,T,EU27_2007,2017,15.5
A,PC,TOTAL,TOTAL,T,EU27_2007,2018,15.3
A,PC,TOTAL,TOTAL,T,EU27_2007,2019,15.4
A,PC,TOTAL,TOTAL,T,EU27_2020,2010,19.1
A,PC,TOTAL,TOTAL,T,EU27_2020,2011,18.4
A,PC,TOTAL,TOTAL,T,EU27_2020,2012,18.4
A,PC,TOTAL,TOTAL,T,EU27_2020,2013,18.3
A,PC,TOTAL,TOTAL,T,EU27_2020,2014,18.1
A,PC,TOTAL,TOTAL,T,EU27_2020,2015,18.1
A,PC,TOTAL,TOTAL,T,EU27_2020,2016,17.9
A,PC,TOTAL,TOTAL,T,EU27_2020,2017,17.5
A,PC,TOTAL,TOTAL,T,EU27_2020,2018,17.1
A,PC,TOTAL,TOTAL,T,EU27_2020,2019,17.1
A,PC,TOTAL,TOTAL,T,EU27_2020,2020,17.4
A,PC,TOTAL,TOTAL,T,EU27_2020,2021,17.3
A,PC,TOTAL,TOTAL,T,EU27_2020,2022,16.8
A,PC,TOTAL,TOTAL,T,EU27_2020,2023,16.8
A,PC,TOTAL,TOTAL,T,EU27_2020,2024,16.9
A,PC,TOTAL,TOTAL,T,EU27_2020,2025,16.8
A,PC,TOTAL,TOTAL,T,EU28,2010,17.7
A,PC,TOTAL,TOTAL,T,EU28,2011,17.0
A,PC,TOTAL,TOTAL,T,EU28,2012,16.9
A,PC,TOTAL,TOTAL,T,EU28,2013,17.0
A,PC,TOTAL,TOTAL,T,EU28,2014,16.7
A,PC,TOTAL,TOTAL,T,EU28,2015,16.7
A,PC,TOTAL,TOTAL,T,EU28,2016,16.6
A,PC,TOTAL,TOTAL,T,EU28,2017,15.7
A,PC,TOTAL,TOTAL,T,EU28,2018,15.5
A,PC,TOTAL,TOTAL,T,EU28,2019,15.6
A,PC,TOTAL,TOTAL,T,FI,2004,7.2
A,PC,TOTAL,TOTAL,T,FI,2005,7.0
A,PC,TOTAL,TOTAL,T,FI,2006,6.3
A,PC,TOTAL,TOTAL,T,FI,2007,6.1
A,PC,TOTAL,TOTAL,T,FI,2008,5.8
A,PC,TOTAL,TOTAL,T,FI,2009,5.9
A,PC,TOTAL,TOTAL,T,FI,2010,6.1
A,PC,TOTAL,TOTAL,T,FI,2011,6.5
A,PC,TOTAL,TOTAL,T,FI,2012,6.0
A,PC,TOTAL,TOTAL,T,FI,2013,6.9
A,PC,TOTAL,TOTAL,T,FI,2014,7.0
A,PC,TOTAL,TOTAL,T,FI,2015,6.7
A,PC,TOTAL,TOTAL,T,FI,2016,6.6
A,PC,TOTAL,TOTAL,T,FI,2017,6.1
A,PC,TOTAL,TOTAL,T,FI,2018,7.3
A,PC,TOTAL,TOTAL,T,FI,2019,7.7
A,PC,TOTAL,TOTAL,T,FI,2020,7.6
A,PC,TOTAL,TOTAL,T,FI,2021,7.4
A,PC,TOTAL,TOTAL,T,FI,2022,8.4
A,PC,TOTAL,TOTAL,T,FI,2023,8.8
A,PC,TOTAL,TOTAL,T,FI,2024,9.1
A,PC,TOTAL,TOTAL,T,FI,2025,9.5
A,PC,TOTAL,TOTAL,T,FR,2004,10.3
A,PC,TOTAL,TOTAL,T,FR,2005,9.4
A,PC,TOTAL,TOTAL,T,FR,2006,8.1
A,PC,TOTAL,TOTAL,T,FR,2007,10.1
A,PC,TOTAL,TOTAL,T,FR,2008,9.7
A,PC,TOTAL,TOTAL,T,FR,2009,9.6
A,PC,TOTAL,TOTAL,T,FR,2010,9.2
A,PC,TOTAL,TOTAL,T,FR,2011,8.0
A,PC,TOTAL,TOTAL,T,FR,2012,8.1
A,PC,TOTAL,TOTAL,T,FR,2013,7.4
A,PC,TOTAL,TOTAL,T,FR,2014,7.1
A,PC,TOTAL,TOTAL,T,FR,2015,7.4
A,PC,TOTAL,TOTAL,T,FR,2016,7.7
A,PC,TOTAL,TOTAL,T,FR,2017,7.7
A,PC,TOTAL,TOTAL,T,FR,2018,8.2
A,PC,TOTAL,TOTAL,T,FR,2019,7.7
A,PC,TOTAL,TOTAL,T,FR,2020,9.6
A,PC,TOTAL,TOTAL,T,FR,2021,9.4
A,PC,TOTAL,TOTAL,T,FR,2022,9.2
A,PC,TOTAL,TOTAL,T,FR,2023,9.9
A,PC,TOTAL,TOTAL,T,FR,2024,10.4
A,PC,TOTAL,TOTAL,T,FR,2025,10.8
A,PC,TOTAL,TOTAL,T,HR,2010,43.7
A,PC,TOTAL,TOTAL,T,HR,2011,44.6
A,PC,TOTAL,TOTAL,T,HR,2012,44.4
A,PC,TOTAL,TOTAL,T,HR,2013,42.8
A,PC,TOTAL,TOTAL,T,HR,2014,42.1
A,PC,TOTAL,TOTAL,T,HR,2015,41.7
A,PC,TOTAL,TOTAL,T,HR,2016,41.1
A,PC,TOTAL,TOTAL,T,HR,2017,39.9
A,PC,TOTAL,TOTAL,T,HR,2018,39.3
A,PC,TOTAL,TOTAL,T,HR,2019,38.5
A,PC,TOTAL,TOTAL,T,HR,2020,36.2
A,PC,TOTAL,TOTAL,T,HR,2021,34.4
A,PC,TOTAL,TOTAL,T,HR,2022,32.7
A,PC,TOTAL,TOTAL,T,HR,2023,31.3
A,PC,TOTAL,TOTAL,T,HR,2024,31.7
A,PC,TOTAL,TOTAL,T,HR,2025,31.8
A,PC,TOTAL,TOTAL,T,HU,2005,49.9
A,PC,TOTAL,TOTAL,T,HU,2006,51.2
A,PC,TOTAL,TOTAL,T,HU,2007,47.4
A,PC,TOTAL,TOTAL,T,HU,2008,48.3
A,PC,TOTAL,TOTAL,T,HU,2009,46.8
A,PC,TOTAL,TOTAL,T,HU,2010,47.2
A,PC,TOTAL,TOTAL,T,HU,2011,45.5
A,PC,TOTAL,TOTAL,T,HU,2012,45.3
A,PC,TOTAL,TOTAL,T,HU,2013,44.0
A,PC,TOTAL,TOTAL,T,HU,2014,41.9
A,PC,TOTAL,TOTAL,T,HU,2015,41.1
A,PC,TOTAL,TOTAL,T,HU,2016,40.4
A,PC,TOTAL,TOTAL,T,HU,2017,40.5
A,PC,TOTAL,TOTAL,T,HU,2018,20.1
A,PC,TOTAL,TOTAL,T,HU,2019,20.4
A,PC,TOTAL,TOTAL,T,HU,2020,18.8
A,PC,TOTAL,TOTAL,T,HU,2021,18.1
A,PC,TOTAL,TOTAL,T,HU,2022,17.0
A,PC,TOTAL,TOTAL,T,HU,2023,15.5
A,PC,TOTAL,TOTAL,T,HU,2024,14.6
A,PC,TOTAL,TOTAL,T,HU,2025,14.6
A,PC,TOTAL,TOTAL,T,IE,2003,6.0
A,PC,TOTAL,TOTAL,T,IE,2004,6.3
A,PC,TOTAL,TOTAL,T,IE,2005,5.4
A,PC,TOTAL,TOTAL,T,IE,2006,6.2
A,PC,TOTAL,TOTAL,T,IE,2007,4.9
A,PC,TOTAL,TOTAL,T,IE,2008,4.7
A,PC,TOTAL,TOTAL,T,IE,2009,3.7
A,PC,TOTAL,TOTAL,T,IE,2010,3.4
A,PC,TOTAL,TOTAL,T,IE,2011,2.6
A,PC,TOTAL,TOTAL,T,IE,2012,3.2
A,PC,TOTAL,TOTAL,T,IE,2013,2.8
A,PC,TOTAL,TOTAL,T,IE,2014,4.2
A,PC,TOTAL,TOTAL,T,IE,2015,3.8
A,PC,TOTAL,TOTAL,T,IE,2016,3.4
A,PC,TOTAL,TOTAL,T,IE,2017,2.8
A,PC,TOTAL,TOTAL,T,IE,2018,2.7
A,PC,TOTAL,TOTAL,T,IE,2019,3.1
A,PC,TOTAL,TOTAL,T,IE,2020,3.0
A,PC,TOTAL,TOTAL,T,IE,2021,3.3
A,PC,TOTAL,TOTAL,T,IE,2022,4.2
A,PC,TOTAL,TOTAL,T,IE,2023,3.9
A,PC,TOTAL,TOTAL,T,IE,2024,5.0
A,PC,TOTAL,TOTAL,T,IE,2025,5.4
A,PC,TOTAL,TOTAL,T,IS,2004,8.1
A,PC,TOTAL,TOTAL,T,IS,2005,7.9
A,PC,TOTAL,TOTAL,T,IS,2006,8.7
A,PC,TOTAL,TOTAL,T,IS,2007,10.7
A,PC,TOTAL,TOTAL,T,IS,2008,6.3
A,PC,TOTAL,TOTAL,T,IS,2009,7.3
A,PC,TOTAL,TOTAL,T,IS,2010,7.2
A,PC,TOTAL,TOTAL,T,IS,2011,7.6
A,PC,TOTAL,TOTAL,T,IS,2012,7.9
A,PC,TOTAL,TOTAL,T,IS,2013,9.1
A,PC,TOTAL,TOTAL,T,IS,2014,8.0
A,PC,TOTAL,TOTAL,T,IS,2015,8.3
A,PC,TOTAL,TOTAL,T,IS,2016,7.4
A,PC,TOTAL,TOTAL,T,IS,2017,7.9
A,PC,TOTAL,TOTAL,T,IS,2018,10.4
A,PC,TOTAL,TOTAL,T,IS,2019,13.5
A,PC,TOTAL,TOTAL,T,IS,2020,11.3
A,PC,TOTAL,TOTAL,T,IT,2004,25.6
A,PC,TOTAL,TOTAL,T,IT,2005,24.1
A,PC,TOTAL,TOTAL,T,IT,2006,24.6
A,PC,TOTAL,TOTAL,T,IT,2007,24.3
A,PC,TOTAL,TOTAL,T,IT,2008,24.3
A,PC,TOTAL,TOTAL,T,IT,2009,23.3
A,PC,TOTAL,TOTAL,T,IT,2010,24.3
A,PC,TOTAL,TOTAL,T,IT,2011,24.5
A,PC,TOTAL,TOTAL,T,IT,2012,26.1
A,PC,TOTAL,TOTAL,T,IT,2013,27.1
A,PC,TOTAL,TOTAL,T,IT,2014,27.2
A,PC,TOTAL,TOTAL,T,IT,2015,27.8
A,PC,TOTAL,TOTAL,T,IT,2016,27.8
A,PC,TOTAL,TOTAL,T,IT,2017,27.1
A,PC,TOTAL,TOTAL,T,IT,2018,27.8
A,PC,TOTAL,TOTAL,T,IT,2019,28.3
A,PC,TOTAL,TOTAL,T,IT,2020,26.1
A,PC,TOTAL,TOTAL,T,IT,2021,28.0
A,PC,TOTAL,TOTAL,T,IT,2022,25.1
A,PC,TOTAL,TOTAL,T,IT,2023,25.4
A,PC,TOTAL,TOTAL,T,IT,2024,23.9
A,PC,TOTAL,TOTAL,T,IT,2025,24.3
A,PC,TOTAL,TOTAL,T,LT,2005,52.8
A,PC,TOTAL,TOTAL,T,LT,2006,53.5
A,PC,TOTAL,TOTAL,T,LT,2007,52.5
A,PC,TOTAL,TOTAL,T,LT,2008,48.4
A,PC,TOTAL,TOTAL,T,LT,2009,48.1
