iso3,funcion,year,pct_gdp
ISL,GF03,2022,1.502974792687916
ISL,GF03,2023,1.565183934459886
ISR,GF03,2000,1.425979196437224
ISR,GF03,2001,1.509892545813817
ISR,GF03,2002,1.586788961079107
ISR,GF03,2003,1.578239285040735
ISR,GF03,2004,1.546842501211162
ISR,GF03,2005,1.529019352405296
ISR,GF03,2006,1.524206835077344
ISR,GF03,2007,1.489650260035223
ISR,GF03,2008,1.532360670536809
ISR,GF03,2009,1.564157608200491
ISR,GF03,2010,1.561013046234854
ISR,GF03,2011,1.541791229127271
ISR,GF03,2012,1.594031684377549
ISR,GF03,2013,1.614501535657671
ISR,GF03,2014,1.568550004587075
ISR,GF03,2015,1.553344398347521
ISR,GF03,2016,1.551998963927843
ISR,GF03,2017,1.62292046478049
ISR,GF03,2018,1.647788102365354
ISR,GF03,2019,1.633242311854107
ISR,GF03,2020,1.661584116923282
ISR,GF03,2021,1.48116231535348
ISR,GF03,2022,1.446722648812967
ISR,GF03,2023,1.476705134761752
ISR,GF03,2024,1.507407867003983
ITA,GF03,1995,1.905665710939708
ITA,GF03,1996,1.998194218827846
ITA,GF03,1997,1.969151422119258
ITA,GF03,1998,2.001829563218069
ITA,GF03,1999,1.97732580357522
ITA,GF03,2000,1.978318433348544
ITA,GF03,2001,1.844075795702811
ITA,GF03,2002,1.898602974645211
ITA,GF03,2003,1.967362829126488
ITA,GF03,2004,1.894594117982073
ITA,GF03,2005,1.913048930905967
ITA,GF03,2006,1.824646251211644
ITA,GF03,2007,1.801920683918373
ITA,GF03,2008,1.754923898138245
ITA,GF03,2009,1.948163855093122
ITA,GF03,2010,1.923057905588821
ITA,GF03,2011,1.915332920629289
ITA,GF03,2012,1.875927414984025
ITA,GF03,2013,1.892044592422446
ITA,GF03,2014,1.853264623717044
ITA,GF03,2015,1.850803052766886
ITA,GF03,2016,1.811707264425852
ITA,GF03,2017,1.815999367151736
ITA,GF03,2018,1.828328488241277
ITA,GF03,2019,1.824820350452422
ITA,GF03,2020,2.0067508456521
ITA,GF03,2021,1.83982918934409
ITA,GF03,2022,1.761697395440507
ITA,GF03,2023,1.698844416085278
ITA,GF03,2024,1.78333814589215
JPN,GF03,2005,1.1960212996577
JPN,GF03,2006,1.199674421333624
