freq,unit,age,sex,geo,time,value
A,NR,Y15-64,T,BG,2023,4018908.0
A,NR,Y15-64,T,BG,2024,4003547.0
A,NR,Y15-64,T,BG,2025,3991272.0
A,NR,Y15-64,T,BY,2006,6850544.0
A,NR,Y15-64,T,BY,2007,6850655.0
A,NR,Y15-64,T,BY,2008,6865802.0
A,NR,Y15-64,T,BY,2009,6889629.0
A,NR,Y15-64,T,BY,2011,6761154.0
A,NR,Y15-64,T,BY,2012,6737957.0
A,NR,Y15-64,T,BY,2013,6697941.0
A,NR,Y15-64,T,BY,2014,6661464.0
A,NR,Y15-64,T,BY,2015,6613355.0
A,NR,Y15-64,T,BY,2016,6577321.0
A,NR,Y15-64,T,BY,2017,6529899.0
A,NR,Y15-64,T,BY,2018,6477226.0
A,NR,Y15-64,T,BY,2019,6430752.0
A,NR,Y15-64,T,CH,1995,4749930.0
A,NR,Y15-64,T,CH,1996,4770997.0
A,NR,Y15-64,T,CH,1997,4775598.0
A,NR,Y15-64,T,CH,1998,4780995.0
A,NR,Y15-64,T,CH,1999,4796099.0
A,NR,Y15-64,T,CH,2000,4821209.0
A,NR,Y15-64,T,CH,2001,4847586.0
A,NR,Y15-64,T,CH,2002,4900004.0
A,NR,Y15-64,T,CH,2003,4949559.0
A,NR,Y15-64,T,CH,2004,4993844.0
A,NR,Y15-64,T,CH,2005,5035354.0
A,NR,Y15-64,T,CH,2006,5073143.0
A,NR,Y15-64,T,CH,2007,5109407.0
A,NR,Y15-64,T,CH,2008,5171568.0
A,NR,Y15-64,T,CH,2009,5245667.0
A,NR,Y15-64,T,CH,2010,5295894.0
A,NR,Y15-64,T,CH,2011,5349624.0
A,NR,Y15-64,T,CH,2012,5394861.0
A,NR,Y15-64,T,CH,2013,5439839.0
A,NR,Y15-64,T,CH,2014,5494607.0
A,NR,Y15-64,T,CH,2015,5547120.0
A,NR,Y15-64,T,CH,2016,5595282.0
A,NR,Y15-64,T,CH,2017,5641500.0
A,NR,Y15-64,T,CH,2018,5664710.0
A,NR,Y15-64,T,CH,2019,5683480.0
A,NR,Y15-64,T,CH,2020,5705315.0
A,NR,Y15-64,T,CH,2021,5734359.0
A,NR,Y15-64,T,CH,2022,5757830.0
A,NR,Y15-64,T,CH,2023,5797001.0
A,NR,Y15-64,T,CH,2024,5888579.0
A,NR,Y15-64,T,CH,2025,5938600.0
A,NR,Y15-64,T,CY,1995,412771.0
A,NR,Y15-64,T,CY,1996,422187.0
A,NR,Y15-64,T,CY,1997,430670.0
A,NR,Y15-64,T,CY,1998,439148.0
A,NR,Y15-64,T,CY,1999,447383.0
A,NR,Y15-64,T,CY,2000,455638.0
A,NR,Y15-64,T,CY,2001,463283.0
A,NR,Y15-64,T,CY,2002,471532.0
A,NR,Y15-64,T,CY,2003,479857.0
A,NR,Y15-64,T,CY,2004,489274.0
A,NR,Y15-64,T,CY,2005,498762.0
A,NR,Y15-64,T,CY,2006,509290.0
A,NR,Y15-64,T,CY,2007,521298.0
A,NR,Y15-64,T,CY,2008,538724.0
A,NR,Y15-64,T,CY,2009,556876.0
A,NR,Y15-64,T,CY,2010,575564.0
A,NR,Y15-64,T,CY,2011,591923.0
A,NR,Y15-64,T,CY,2012,609334.0
A,NR,Y15-64,T,CY,2013,606368.0
A,NR,Y15-64,T,CY,2014,599750.0
A,NR,Y15-64,T,CY,2015,596423.0
A,NR,Y15-64,T,CY,2016,595598.0
A,NR,Y15-64,T,CY,2017,596352.0
A,NR,Y15-64,T,CY,2018,599921.0
A,NR,Y15-64,T,CY,2019,605464.0
A,NR,Y15-64,T,CY,2020,611152.0
A,NR,Y15-64,T,CY,2021,617389.0
A,NR,Y15-64,T,CY,2022,626748.0
A,NR,Y15-64,T,CY,2023,638106.0
A,NR,Y15-64,T,CY,2024,647403.0
A,NR,Y15-64,T,CY,2025,654355.0
A,NR,Y15-64,T,CZ,1995,7028905.0
A,NR,Y15-64,T,CZ,1996,7055805.0
A,NR,Y15-64,T,CZ,1997,7078210.0
A,NR,Y15-64,T,CZ,1998,7102231.0
A,NR,Y15-64,T,CZ,1999,7126712.0
A,NR,Y15-64,T,CZ,2000,7152815.0
A,NR,Y15-64,T,CZ,2001,7159345.0
A,NR,Y15-64,T,CZ,2002,7166678.0
A,NR,Y15-64,T,CZ,2003,7188079.0
A,NR,Y15-64,T,CZ,2004,7221546.0
A,NR,Y15-64,T,CZ,2005,7241636.0
A,NR,Y15-64,T,CZ,2006,7270843.0
A,NR,Y15-64,T,CZ,2007,7297429.0
A,NR,Y15-64,T,CZ,2008,7358195.0
A,NR,Y15-64,T,CZ,2009,7392376.0
A,NR,Y15-64,T,CZ,2010,7368638.0
A,NR,Y15-64,T,CZ,2011,7327997.0
A,NR,Y15-64,T,CZ,2012,7262768.0
A,NR,Y15-64,T,CZ,2013,7188211.0
A,NR,Y15-64,T,CZ,2014,7109420.0
A,NR,Y15-64,T,CZ,2015,7056824.0
A,NR,Y15-64,T,CZ,2016,6997715.0
A,NR,Y15-64,T,CZ,2017,6942623.0
A,NR,Y15-64,T,CZ,2018,6899195.0
A,NR,Y15-64,T,CZ,2019,6870123.0
A,NR,Y15-64,T,CZ,2020,6852107.0
A,NR,Y15-64,T,CZ,2021,6658623.0
A,NR,Y15-64,T,CZ,2022,6654190.0
A,NR,Y15-64,T,CZ,2023,6868872.0
A,NR,Y15-64,T,CZ,2024,6935475.0
A,NR,Y15-64,T,CZ,2025,6962830.0
A,NR,Y15-64,T,DE,1995,55702495.0
A,NR,Y15-64,T,DE,1996,55846564.0
