ccaa,anyo,valor,quarter
"Asturias, Principado de",2009,1076280.0,1
"Asturias, Principado de",2009,1076430.0,3
"Asturias, Principado de",2010,1077103.0,1
"Asturias, Principado de",2010,1076165.0,3
"Asturias, Principado de",2011,1075877.0,1
"Asturias, Principado de",2011,1075114.0,3
"Asturias, Principado de",2012,1074304.0,1
"Asturias, Principado de",2012,1070365.0,3
"Asturias, Principado de",2013,1067425.0,1
"Asturias, Principado de",2013,1062598.0,3
"Asturias, Principado de",2014,1058560.0,1
"Asturias, Principado de",2014,1053538.0,3
"Asturias, Principado de",2015,1049328.0,1
"Asturias, Principado de",2015,1043486.0,3
"Asturias, Principado de",2016,1040407.0,1
"Asturias, Principado de",2016,1036480.0,3
"Asturias, Principado de",2017,1033550.0,1
"Asturias, Principado de",2017,1029282.0,3
"Asturias, Principado de",2018,1027091.0,1
"Asturias, Principado de",2018,1023596.0,3
"Asturias, Principado de",2019,1021469.0,1
"Asturias, Principado de",2019,1019217.0,3
"Asturias, Principado de",2020,1018053.0,1
"Asturias, Principado de",2020,1014604.0,3
"Asturias, Principado de",2021,1012117.0,1
"Asturias, Principado de",2021,1009420.0,2
"Asturias, Principado de",2021,1007329.0,3
"Asturias, Principado de",2021,1006430.0,4
"Asturias, Principado de",2022,1004960.0,1
"Asturias, Principado de",2022,1004326.0,2
"Asturias, Principado de",2022,1004553.0,3
"Asturias, Principado de",2022,1005533.0,4
"Asturias, Principado de",2023,1006060.0,1
"Asturias, Principado de",2023,1006134.0,2
"Asturias, Principado de",2023,1006368.0,3
"Asturias, Principado de",2023,1008299.0,4
"Asturias, Principado de",2024,1009599.0,1
"Asturias, Principado de",2024,1009475.0,2
"Asturias, Principado de",2024,1010547.0,3
"Asturias, Principado de",2024,1013182.0,4
"Asturias, Principado de",2025,1015128.0,1
"Asturias, Principado de",2025,1016036.0,2
"Asturias, Principado de",2025,1017734.0,3
"Asturias, Principado de",2025,1020785.0,4
"Asturias, Principado de",2026,1021569.0,1
"Asturias, Principado de",2026,1024120.0,2
"Balears, Illes",1971,532942.0,1
"Balears, Illes",1971,538876.0,3
"Balears, Illes",1972,545498.0,1
"Balears, Illes",1972,551334.0,3
"Balears, Illes",1973,558493.0,1
"Balears, Illes",1973,564514.0,3
"Balears, Illes",1974,571291.0,1
"Balears, Illes",1974,577530.0,3
"Balears, Illes",1975,584351.0,1
"Balears, Illes",1975,590217.0,3
"Balears, Illes",1976,596495.0,1
"Balears, Illes",1976,602260.0,3
"Balears, Illes",1977,608638.0,1
"Balears, Illes",1977,614248.0,3
"Balears, Illes",1978,620149.0,1
"Balears, Illes",1978,625816.0,3
"Balears, Illes",1979,631517.0,1
"Balears, Illes",1979,637171.0,3
"Balears, Illes",1980,642780.0,1
"Balears, Illes",1980,648208.0,3
"Balears, Illes",1981,653994.0,1
"Balears, Illes",1981,658350.0,3
"Balears, Illes",1982,662087.0,1
"Balears, Illes",1982,665347.0,3
"Balears, Illes",1983,668607.0,1
"Balears, Illes",1983,670989.0,3
"Balears, Illes",1984,674148.0,1
"Balears, Illes",1984,676773.0,3
"Balears, Illes",1985,679982.0,1
"Balears, Illes",1985,682576.0,3
"Balears, Illes",1986,685509.0,1
"Balears, Illes",1986,687649.0,3
"Balears, Illes",1987,690608.0,1
"Balears, Illes",1987,693001.0,3
"Balears, Illes",1988,695730.0,1
"Balears, Illes",1988,698140.0,3
"Balears, Illes",1989,700883.0,1
"Balears, Illes",1989,702948.0,3
"Balears, Illes",1990,705294.0,1
"Balears, Illes",1990,706936.0,3
"Balears, Illes",1991,708917.0,1
"Balears, Illes",1991,713222.0,3
"Balears, Illes",1992,719713.0,1
"Balears, Illes",1992,725837.0,3
"Balears, Illes",1993,732316.0,1
"Balears, Illes",1993,738113.0,3
"Balears, Illes",1994,744232.0,1
"Balears, Illes",1994,750043.0,3
"Balears, Illes",1995,756141.0,1
"Balears, Illes",1995,761886.0,3
"Balears, Illes",1996,767952.0,1
"Balears, Illes",1996,773625.0,3
"Balears, Illes",1997,780019.0,1
"Balears, Illes",1997,785792.0,3
"Balears, Illes",1998,792343.0,1
"Balears, Illes",1998,798319.0,3
"Balears, Illes",1999,804754.0,1
"Balears, Illes",1999,810526.0,3
"Balears, Illes",2000,817313.0,1
"Balears, Illes",2000,823401.0,3
"Balears, Illes",2001,830428.0,1
"Balears, Illes",2001,836907.0,3
"Balears, Illes",2002,845130.0,1
"Balears, Illes",2002,866087.0,3
"Balears, Illes",2003,883410.0,1
"Balears, Illes",2003,898642.0,3
"Balears, Illes",2004,912964.0,1
"Balears, Illes",2004,923983.0,3
"Balears, Illes",2005,940124.0,1
"Balears, Illes",2005,954612.0,3
"Balears, Illes",2006,970288.0,1
"Balears, Illes",2006,987203.0,3
"Balears, Illes",2007,1005184.0,1
"Balears, Illes",2007,1025216.0,3
"Balears, Illes",2008,1042855.0,1
"Balears, Illes",2008,1057440.0,3
"Balears, Illes",2009,1070164.0,1
"Balears, Illes",2009,1078053.0,3
"Balears, Illes",2010,1083683.0,1
"Balears, Illes",2010,1087640.0,3
"Balears, Illes",2011,1091656.0,1
"Balears, Illes",2011,1095456.0,3
"Balears, Illes",2012,1100715.0,1
"Balears, Illes",2012,1101382.0,3
"Balears, Illes",2013,1105131.0,1
"Balears, Illes",2013,1105776.0,3
"Balears, Illes",2014,1106617.0,1
"Balears, Illes",2014,1108557.0,3
"Balears, Illes",2015,1111002.0,1
"Balears, Illes",2015,1113547.0,3
"Balears, Illes",2016,1117353.0,1
"Balears, Illes",2016,1122995.0,3
"Balears, Illes",2017,1128492.0,1
"Balears, Illes",2017,1133746.0,3
"Balears, Illes",2018,1141233.0,1
"Balears, Illes",2018,1148049.0,3
"Balears, Illes",2019,1157928.0,1
"Balears, Illes",2019,1166084.0,3
"Balears, Illes",2020,1176816.0,1
"Balears, Illes",2020,1179492.0,3
"Balears, Illes",2021,1183415.0,1
"Balears, Illes",2021,1180773.0,2
"Balears, Illes",2021,1182298.0,3
"Balears, Illes",2021,1186410.0,4
"Balears, Illes",2022,1187043.0,1
"Balears, Illes",2022,1189263.0,2
