ccaa,anyo,quarter,eur_m2
País Vasco,2013,2,2517.7
País Vasco,2013,3,2490.9
País Vasco,2013,4,2435.9
País Vasco,2014,1,2426.8
País Vasco,2014,2,2430.2
País Vasco,2014,3,2432.2
País Vasco,2014,4,2399.1
"Rioja, La",2010,1,1436.3
"Rioja, La",2010,2,1448.0
"Rioja, La",2010,3,1448.2
"Rioja, La",2010,4,1414.1000000000001
"Rioja, La",2011,1,1427.5
"Rioja, La",2011,2,1390.3
"Rioja, La",2011,3,1349.4
"Rioja, La",2011,4,1295.0
"Rioja, La",2012,1,1300.1
"Rioja, La",2012,2,1300.3
"Rioja, La",2012,3,1266.7
"Rioja, La",2012,4,1275.1
"Rioja, La",2013,1,1218.0
"Rioja, La",2013,2,1155.4
"Rioja, La",2013,3,1121.0
"Rioja, La",2013,4,1071.4
"Rioja, La",2014,1,1079.4
"Rioja, La",2014,2,1094.9
"Rioja, La",2014,3,1067.1
"Rioja, La",2014,4,1038.0
Ceuta,2010,1,1753.3
Ceuta,2010,2,1786.6
Ceuta,2010,3,1785.7
Ceuta,2010,4,1834.2
Ceuta,2011,1,1753.1000000000001
Ceuta,2011,2,1832.6000000000001
Ceuta,2011,3,1826.6
Ceuta,2011,4,1774.8
Ceuta,2012,1,1794.3
Ceuta,2012,2,1801.7
Ceuta,2012,3,1763.5
Ceuta,2012,4,1676.8
Ceuta,2013,1,1700.2
Ceuta,2013,3,1673.0
Ceuta,2013,4,1736.1
Ceuta,2014,1,1770.8
Ceuta,2014,2,1734.2
Ceuta,2014,3,1783.8
Ceuta,2014,4,1736.8
Melilla,2010,1,1590.5
Melilla,2010,2,1645.7
Melilla,2010,3,1581.7
Melilla,2010,4,1541.3
Melilla,2011,1,1505.1
Melilla,2011,2,1641.4
Melilla,2011,3,1575.6
Melilla,2011,4,1660.7
Melilla,2012,1,1624.4
Melilla,2012,2,1604.9
Melilla,2012,3,1634.2
Melilla,2012,4,1550.5
Melilla,2013,1,1558.0
Melilla,2013,4,1450.8
Melilla,2014,1,1439.9
Melilla,2014,2,1432.4
Melilla,2014,3,1404.3
Melilla,2014,4,1462.1
