cod,nombre,anyo,periodo,valor
IPV1209,Nacional. General. Índice. ,2019,21,70.112
IPV1209,Nacional. General. Índice. ,2019,22,69.659
IPV1209,Nacional. General. Índice. ,2020,19,70.423
IPV1209,Nacional. General. Índice. ,2020,20,70.481
IPV1209,Nacional. General. Índice. ,2020,21,71.29
IPV1209,Nacional. General. Índice. ,2020,22,70.692
IPV1209,Nacional. General. Índice. ,2021,19,71.055
IPV1209,Nacional. General. Índice. ,2021,20,72.781
IPV1209,Nacional. General. Índice. ,2021,21,74.291
IPV1209,Nacional. General. Índice. ,2021,22,75.202
IPV1209,Nacional. General. Índice. ,2022,19,77.119
IPV1209,Nacional. General. Índice. ,2022,20,78.616
IPV1209,Nacional. General. Índice. ,2022,21,79.964
IPV1209,Nacional. General. Índice. ,2022,22,79.301
IPV1209,Nacional. General. Índice. ,2023,19,79.809
IPV1209,Nacional. General. Índice. ,2023,20,81.478
IPV1209,Nacional. General. Índice. ,2023,21,83.529
IPV1209,Nacional. General. Índice. ,2023,22,82.649
IPV1209,Nacional. General. Índice. ,2024,19,84.833
IPV1209,Nacional. General. Índice. ,2024,20,87.87
IPV1209,Nacional. General. Índice. ,2024,21,90.337
IPV1209,Nacional. General. Índice. ,2024,22,91.956
IPV1209,Nacional. General. Índice. ,2025,19,95.215
IPV1209,Nacional. General. Índice. ,2025,20,99.043
IPV1209,Nacional. General. Índice. ,2025,21,101.937
IPV1209,Nacional. General. Índice. ,2025,22,103.805
IPV1209,Nacional. General. Índice. ,2026,19,107.458
IPV1613,Nacional. Vivienda nueva. Índice. ,2007,19,61.011
IPV1613,Nacional. Vivienda nueva. Índice. ,2007,20,62.848
IPV1613,Nacional. Vivienda nueva. Índice. ,2007,21,64.169
IPV1613,Nacional. Vivienda nueva. Índice. ,2007,22,65.125
IPV1613,Nacional. Vivienda nueva. Índice. ,2008,19,65.375
IPV1613,Nacional. Vivienda nueva. Índice. ,2008,20,66.192
IPV1613,Nacional. Vivienda nueva. Índice. ,2008,21,66.546
IPV1613,Nacional. Vivienda nueva. Índice. ,2008,22,65.647
IPV1613,Nacional. Vivienda nueva. Índice. ,2009,19,64.075
IPV1613,Nacional. Vivienda nueva. Índice. ,2009,20,63.631
IPV1613,Nacional. Vivienda nueva. Índice. ,2009,21,62.83
IPV1613,Nacional. Vivienda nueva. Índice. ,2009,22,62.315
IPV1613,Nacional. Vivienda nueva. Índice. ,2010,19,61.373
IPV1613,Nacional. Vivienda nueva. Índice. ,2010,20,62.543
IPV1613,Nacional. Vivienda nueva. Índice. ,2010,21,61.224
IPV1613,Nacional. Vivienda nueva. Índice. ,2010,22,60.985
IPV1613,Nacional. Vivienda nueva. Índice. ,2011,19,60.189
IPV1613,Nacional. Vivienda nueva. Índice. ,2011,20,59.311
IPV1613,Nacional. Vivienda nueva. Índice. ,2011,21,58.134
IPV1613,Nacional. Vivienda nueva. Índice. ,2011,22,55.772
IPV1613,Nacional. Vivienda nueva. Índice. ,2012,19,53.086
IPV1613,Nacional. Vivienda nueva. Índice. ,2012,20,51.73
IPV1613,Nacional. Vivienda nueva. Índice. ,2012,21,50.231
IPV1613,Nacional. Vivienda nueva. Índice. ,2012,22,49.676
IPV1613,Nacional. Vivienda nueva. Índice. ,2013,19,46.277
IPV1613,Nacional. Vivienda nueva. Índice. ,2013,20,45.181
IPV1613,Nacional. Vivienda nueva. Índice. ,2013,21,46.239
IPV1613,Nacional. Vivienda nueva. Índice. ,2013,22,45.704
IPV1613,Nacional. Vivienda nueva. Índice. ,2014,19,45.772
IPV1613,Nacional. Vivienda nueva. Índice. ,2014,20,46.057
IPV1613,Nacional. Vivienda nueva. Índice. ,2014,21,46.603
IPV1613,Nacional. Vivienda nueva. Índice. ,2014,22,46.559
IPV1613,Nacional. Vivienda nueva. Índice. ,2015,19,47.599
IPV1613,Nacional. Vivienda nueva. Índice. ,2015,20,48.306
IPV1613,Nacional. Vivienda nueva. Índice. ,2015,21,48.597
IPV1613,Nacional. Vivienda nueva. Índice. ,2015,22,49.251
IPV1613,Nacional. Vivienda nueva. Índice. ,2016,19,50.513
IPV1613,Nacional. Vivienda nueva. Índice. ,2016,20,52.364
IPV1613,Nacional. Vivienda nueva. Índice. ,2016,21,52.122
IPV1613,Nacional. Vivienda nueva. Índice. ,2016,22,51.392
IPV1613,Nacional. Vivienda nueva. Índice. ,2017,19,53.29
IPV1613,Nacional. Vivienda nueva. Índice. ,2017,20,54.656
IPV1613,Nacional. Vivienda nueva. Índice. ,2017,21,55.52
IPV1613,Nacional. Vivienda nueva. Índice. ,2017,22,55.172
IPV1613,Nacional. Vivienda nueva. Índice. ,2018,19,56.309
IPV1613,Nacional. Vivienda nueva. Índice. ,2018,20,57.755
IPV1613,Nacional. Vivienda nueva. Índice. ,2018,21,58.923
IPV1613,Nacional. Vivienda nueva. Índice. ,2018,22,59.6
IPV1613,Nacional. Vivienda nueva. Índice. ,2019,19,62.139
IPV1613,Nacional. Vivienda nueva. Índice. ,2019,20,61.898
IPV1613,Nacional. Vivienda nueva. Índice. ,2019,21,62.834
IPV1613,Nacional. Vivienda nueva. Índice. ,2019,22,62.739
IPV1613,Nacional. Vivienda nueva. Índice. ,2020,19,65.952
IPV1613,Nacional. Vivienda nueva. Índice. ,2020,20,64.468
IPV1613,Nacional. Vivienda nueva. Índice. ,2020,21,67.523
IPV1613,Nacional. Vivienda nueva. Índice. ,2020,22,67.884
IPV1613,Nacional. Vivienda nueva. Índice. ,2021,19,67.485
IPV1613,Nacional. Vivienda nueva. Índice. ,2021,20,68.341
IPV1613,Nacional. Vivienda nueva. Índice. ,2021,21,70.271
IPV1613,Nacional. Vivienda nueva. Índice. ,2021,22,71.999
IPV1613,Nacional. Vivienda nueva. Índice. ,2022,19,74.288
IPV1613,Nacional. Vivienda nueva. Índice. ,2022,20,74.358
IPV1613,Nacional. Vivienda nueva. Índice. ,2022,21,75.046
IPV1613,Nacional. Vivienda nueva. Índice. ,2022,22,76.436
IPV1613,Nacional. Vivienda nueva. Índice. ,2023,19,78.719
