iso3,cabecera,year,pct_gdp
MLT,otros,2021,0.0
MLT,otros,2022,0.0
MLT,otros,2023,0.0
MLT,otros,2024,0.0
MHL,otros,2023,0.0
MRT,otros,2007,0.0
MRT,otros,2008,0.0
MRT,otros,2009,0.0
MRT,otros,2010,0.0
MRT,otros,2011,0.0
MRT,otros,2012,0.0
MRT,otros,2013,0.0
MRT,otros,2014,0.0
MRT,otros,2015,0.0
MRT,otros,2016,0.0
MRT,otros,2017,0.0
MRT,otros,2018,0.0
MRT,otros,2019,0.0
MDA,otros,2000,0.0
MDA,otros,2001,0.0
MDA,otros,2002,0.0
MDA,otros,2003,0.0
MDA,otros,2004,0.0
MDA,otros,2005,0.0
MDA,otros,2006,0.0
MDA,otros,2007,0.0
MDA,otros,2008,0.0
MDA,otros,2009,0.0
MDA,otros,2010,0.0
MDA,otros,2011,0.0
MDA,otros,2012,0.0
MDA,otros,2013,0.0
MDA,otros,2014,0.0
MDA,otros,2015,0.0
MDA,otros,2016,0.0
MDA,otros,2017,0.0
MDA,otros,2018,0.0
MDA,otros,2019,0.0
MDA,otros,2020,0.0
MDA,otros,2021,0.0
MDA,otros,2022,0.0
MDA,otros,2023,0.0
MDA,otros,2024,0.0
MNG,otros,2006,0.0
MNG,otros,2007,0.0
MNG,otros,2008,0.0
MNG,otros,2009,0.0
MNG,otros,2010,0.0
MNG,otros,2011,0.0
MNG,otros,2012,0.0
MNG,otros,2013,0.0
MNG,otros,2014,0.0
MNG,otros,2015,0.0
MNG,otros,2016,0.0
MNG,otros,2017,0.0
MNG,otros,2018,0.0
MNG,otros,2019,0.0
MNG,otros,2020,0.0
MNG,otros,2021,0.0
MNG,otros,2022,0.0
MNG,otros,2023,0.0
MNG,otros,2024,0.0
RWA,otros,1996,0.0
RWA,otros,1997,0.0
RWA,otros,1998,0.0
RWA,otros,1999,0.0
RWA,otros,2000,0.0
RWA,otros,2001,0.0
RWA,otros,2002,0.0
RWA,otros,2003,0.0
RWA,otros,2004,0.0
RWA,otros,2005,0.0
RWA,otros,2006,0.0
RWA,otros,2007,0.0
RWA,otros,2008,0.0
RWA,otros,2009,0.0
RWA,otros,2010,0.0
RWA,otros,2011,0.0
RWA,otros,2012,0.0
RWA,otros,2013,0.0
RWA,otros,2014,0.0
RWA,otros,2015,0.0
RWA,otros,2016,0.0
RWA,otros,2017,0.0
RWA,otros,2018,0.0
RWA,otros,2019,0.0
RWA,otros,2020,0.0
RWA,otros,2021,0.0
RWA,otros,2022,0.0
RWA,otros,2023,0.0
RWA,otros,2024,0.0
LCA,otros,1992,0.0
LCA,otros,1993,0.0
LCA,otros,1994,0.0
LCA,otros,1995,0.0
LCA,otros,1996,0.0
LCA,otros,1997,0.0
LCA,otros,1998,0.0
LCA,otros,1999,0.0
LCA,otros,2000,0.0
LCA,otros,2001,0.0
LCA,otros,2002,0.0
LCA,otros,2003,0.0
LCA,otros,2004,0.0
LCA,otros,2005,0.0
LCA,otros,2006,0.0
LCA,otros,2007,0.0
LCA,otros,2008,0.0
LCA,otros,2009,0.0
LCA,otros,2010,0.0
LCA,otros,2011,0.0
LCA,otros,2012,0.0
LCA,otros,2013,0.0
LCA,otros,2014,0.0
LCA,otros,2015,0.0
LCA,otros,2016,0.0
LCA,otros,2017,0.0
LCA,otros,2018,0.0
LCA,otros,2019,0.0
LCA,otros,2020,0.0
LCA,otros,2021,0.0
LCA,otros,2022,0.0
LCA,otros,2023,0.0
LCA,otros,2024,0.0
WSM,otros,2005,0.0
WSM,otros,2006,0.0
WSM,otros,2007,0.0
WSM,otros,2008,0.0
WSM,otros,2009,0.0
WSM,otros,2010,0.0
WSM,otros,2011,0.0
WSM,otros,2012,0.0
WSM,otros,2013,0.0
WSM,otros,2014,0.0
WSM,otros,2015,0.0
WSM,otros,2016,0.0
