area,serie,indice,anyo,quarter
MA,nominal,98.7137,2008,2
MA,nominal,99.7618,2008,3
MA,nominal,99.9524,2008,4
MA,nominal,100.4288,2009,1
MA,nominal,100.0476,2009,2
MA,nominal,99.8571,2009,3
MA,nominal,100.6193,2009,4
MA,nominal,99.8571,2010,1
MA,nominal,99.9524,2010,2
MA,nominal,100.1429,2010,3
MA,nominal,100.0476,2010,4
MA,nominal,100.2382,2011,1
MA,nominal,100.8099,2011,2
MA,nominal,100.8099,2011,3
MA,nominal,100.5241,2011,4
MA,nominal,101.0005,2012,1
MA,nominal,101.9533,2012,2
MA,nominal,101.191,2012,3
MA,nominal,101.5722,2012,4
MA,nominal,101.191,2013,1
MA,nominal,101.6675,2013,2
MA,nominal,101.4769,2013,3
MA,nominal,102.2392,2013,4
MA,nominal,101.858,2014,1
MA,nominal,102.2392,2014,2
MA,nominal,101.6675,2014,3
MA,nominal,102.0486,2014,4
MA,nominal,101.4769,2015,1
MA,nominal,101.9533,2015,2
MA,nominal,101.6675,2015,3
MA,nominal,102.4297,2015,4
MA,nominal,102.0486,2016,1
MA,nominal,102.8109,2016,2
MA,nominal,105.4788,2016,3
MA,nominal,107.0033,2016,4
MA,nominal,107.3845,2017,1
MA,nominal,107.1939,2017,2
MA,nominal,107.3845,2017,3
MA,nominal,107.0986,2017,4
MA,nominal,107.0986,2018,1
MA,nominal,107.1939,2018,2
MA,nominal,107.0986,2018,3
MA,nominal,107.9562,2018,4
MA,nominal,106.5269,2019,1
MA,nominal,106.5269,2019,2
MA,nominal,107.1939,2019,3
MA,nominal,106.9081,2019,4
MA,nominal,105.8599,2020,1
MA,nominal,100.7146,2020,2
MA,nominal,105.8599,2020,3
MA,nominal,108.5279,2020,4
MA,nominal,106.4316,2021,1
MA,nominal,103.0014,2021,2
MA,nominal,100.0476,2021,3
MA,nominal,100.8099,2021,4
MA,nominal,100.8099,2022,1
MA,nominal,101.0005,2022,2
MA,nominal,101.5722,2022,3
MA,nominal,101.858,2022,4
MA,nominal,101.4769,2023,1
MA,nominal,101.3816,2023,2
MA,nominal,101.6675,2023,3
MA,nominal,101.5722,2023,4
MA,nominal,100.9052,2024,1
MA,nominal,101.0958,2024,2
MA,nominal,101.3816,2024,3
MA,nominal,103.2873,2024,4
MA,nominal,101.3816,2025,1
MA,nominal,101.3816,2025,2
MA,nominal,103.3826,2025,3
MA,nominal,103.5731,2025,4
BG,nominal,32.0002,1998,1
BG,nominal,33.8636,1998,2
BG,nominal,32.4176,1998,3
BG,nominal,32.7068,1998,4
BG,nominal,32.9335,1999,1
BG,nominal,33.6821,1999,2
BG,nominal,32.4843,1999,3
BG,nominal,32.9693,1999,4
BG,nominal,32.6924,2000,1
BG,nominal,32.7837,2000,2
BG,nominal,33.1673,2000,3
BG,nominal,32.4279,2000,4
BG,nominal,33.1037,2001,1
BG,nominal,32.6084,2001,2
BG,nominal,33.1304,2001,3
BG,nominal,32.6453,2001,4
BG,nominal,32.7847,2002,1
BG,nominal,33.2544,2002,2
BG,nominal,33.838,2002,3
BG,nominal,34.0339,2002,4
BG,nominal,34.4841,2003,1
BG,nominal,35.965,2003,2
BG,nominal,38.5832,2003,3
BG,nominal,41.226,2003,4
BG,nominal,46.3743,2004,1
BG,nominal,51.983,2004,2
BG,nominal,58.3199,2004,3
BG,nominal,64.9275,2004,4
BG,nominal,71.838,2005,1
BG,nominal,74.9096,2005,2
BG,nominal,77.0739,2005,3
BG,nominal,78.9358,2005,4
BG,nominal,82.669,2006,1
BG,nominal,84.03,2006,2
BG,nominal,87.8577,2006,3
BG,nominal,92.7061,2006,4
BG,nominal,101.3444,2007,1
BG,nominal,106.7694,2007,2
BG,nominal,114.7556,2007,3
BG,nominal,124.8116,2007,4
BG,nominal,133.3365,2008,1
BG,nominal,141.162,2008,2
BG,nominal,145.4717,2008,3
BG,nominal,139.4325,2008,4
BG,nominal,123.5924,2009,1
BG,nominal,111.684,2009,2
BG,nominal,106.4386,2009,3
BG,nominal,103.5654,2009,4
BG,nominal,101.2972,2010,1
BG,nominal,100.6734,2010,2
BG,nominal,99.596,2010,3
BG,nominal,98.4335,2010,4
BG,nominal,96.4298,2011,1
BG,nominal,94.7286,2011,2
BG,nominal,94.0765,2011,3
BG,nominal,92.7155,2011,4
BG,nominal,92.8384,2012,1
BG,nominal,93.2543,2012,2
BG,nominal,93.1597,2012,3
BG,nominal,91.5058,2012,4
BG,nominal,90.7308,2013,1
BG,nominal,91.1845,2013,2
BG,nominal,90.2772,2013,3
BG,nominal,90.4095,2013,4
BG,nominal,91.3546,2014,1
BG,nominal,91.6476,2014,2
BG,nominal,91.8744,2014,3
BG,nominal,92.9235,2014,4
BG,nominal,93.4244,2015,1
BG,nominal,94.2372,2015,2
BG,nominal,93.7646,2015,3
BG,nominal,96.6189,2015,4
BG,nominal,97.7057,2016,1
BG,nominal,100.4088,2016,2
BG,nominal,102.0155,2016,3
BG,nominal,104.4538,2016,4
BG,nominal,106.4764,2017,1
BG,nominal,109.0376,2017,2
BG,nominal,111.1641,2017,3
BG,nominal,112.9693,2017,4
BG,nominal,114.0278,2018,1
BG,nominal,117.2223,2018,2
BG,nominal,118.1296,2018,3
BG,nominal,119.226,2018,4
BG,nominal,122.3448,2019,1
BG,nominal,123.1104,2019,2
BG,nominal,124.7265,2019,3
BG,nominal,126.6356,2019,4
BG,nominal,128.1006,2020,1
BG,nominal,126.7112,2020,2
BG,nominal,131.1911,2020,3
BG,nominal,133.4783,2020,4
BG,nominal,137.7218,2021,1
BG,nominal,138.2038,2021,2
BG,nominal,142.6175,2021,3
BG,nominal,146.001,2021,4
BG,nominal,153.5997,2022,1
BG,nominal,158.382,2022,2
BG,nominal,164.856,2022,3
BG,nominal,165.527,2022,4
BG,nominal,168.1639,2023,1
BG,nominal,175.3184,2023,2
BG,nominal,180.025,2023,3
BG,nominal,182.1988,2023,4
BG,nominal,195.0901,2024,1
BG,nominal,201.8099,2024,2
BG,nominal,209.7299,2024,3
BG,nominal,215.4857,2024,4
BG,nominal,224.5115,2025,1
BG,nominal,233.112,2025,2
BG,nominal,241.9583,2025,3
BG,nominal,242.6199,2025,4
ZA,nominal,1.0467,1966,1
ZA,nominal,1.0671,1966,2
ZA,nominal,1.0569,1966,3
ZA,nominal,1.0975,1966,4
ZA,nominal,1.2195,1967,1
ZA,nominal,1.2601,1967,2
ZA,nominal,1.3008,1967,3
ZA,nominal,1.3008,1967,4
ZA,nominal,1.2805,1968,1
ZA,nominal,1.2906,1968,2
ZA,nominal,1.3414,1968,3
ZA,nominal,1.3923,1968,4
ZA,nominal,1.4126,1969,1
ZA,nominal,1.4532,1969,2
ZA,nominal,1.4939,1969,3
ZA,nominal,1.5345,1969,4
ZA,nominal,1.6158,1970,1
ZA,nominal,1.687,1970,2
ZA,nominal,1.7276,1970,3
ZA,nominal,1.7479,1970,4
ZA,nominal,1.7683,1971,1
ZA,nominal,1.8089,1971,2
ZA,nominal,1.8292,1971,3
ZA,nominal,1.8496,1971,4
ZA,nominal,1.8597,1972,1
ZA,nominal,1.8597,1972,2
ZA,nominal,1.9207,1972,3
ZA,nominal,1.9817,1972,4
ZA,nominal,2.0731,1973,1
ZA,nominal,2.1341,1973,2
ZA,nominal,2.2561,1973,3
ZA,nominal,2.3475,1973,4
ZA,nominal,2.3475,1974,1
ZA,nominal,2.3882,1974,2
ZA,nominal,2.3983,1974,3
ZA,nominal,2.4085,1974,4
ZA,nominal,2.5508,1975,1
ZA,nominal,2.5914,1975,2
ZA,nominal,2.6016,1975,3
ZA,nominal,2.6626,1975,4
ZA,nominal,2.7134,1976,1
ZA,nominal,2.7743,1976,2
ZA,nominal,2.7743,1976,3
ZA,nominal,2.7642,1976,4
ZA,nominal,2.7743,1977,1
ZA,nominal,2.815,1977,2
ZA,nominal,2.815,1977,3
ZA,nominal,2.8353,1977,4
ZA,nominal,2.8658,1978,1
ZA,nominal,2.876,1978,2
ZA,nominal,2.9369,1978,3
ZA,nominal,3.0386,1978,4
ZA,nominal,3.1097,1979,1
ZA,nominal,3.2113,1979,2
ZA,nominal,3.3434,1979,3
ZA,nominal,3.4755,1979,4
ZA,nominal,3.6077,1980,1
ZA,nominal,3.8516,1980,2
ZA,nominal,4.2072,1980,3
ZA,nominal,4.6036,1980,4
ZA,nominal,4.9999,1981,1
ZA,nominal,5.4267,1981,2
ZA,nominal,5.8535,1981,3
ZA,nominal,6.2092,1981,4
ZA,nominal,6.4633,1982,1
ZA,nominal,6.6767,1982,2
ZA,nominal,6.8596,1982,3
ZA,nominal,7.0527,1982,4
ZA,nominal,7.4694,1983,1
ZA,nominal,7.9267,1983,2
ZA,nominal,8.323,1983,3
ZA,nominal,8.8006,1983,4
ZA,nominal,9.0039,1984,1
ZA,nominal,8.9836,1984,2
ZA,nominal,8.8718,1984,3
ZA,nominal,8.6177,1984,4
ZA,nominal,8.3637,1985,1
ZA,nominal,8.2112,1985,2
ZA,nominal,8.0893,1985,3
ZA,nominal,8.069,1985,4
ZA,nominal,7.9775,1986,1
ZA,nominal,7.8352,1986,2
ZA,nominal,7.7844,1986,3
ZA,nominal,7.8352,1986,4
ZA,nominal,8.1096,1987,1
ZA,nominal,8.4551,1987,2
ZA,nominal,8.76,1987,3
ZA,nominal,9.1665,1987,4
ZA,nominal,9.5019,1988,1
ZA,nominal,9.7051,1988,2
ZA,nominal,10.0709,1988,3
ZA,nominal,10.4165,1988,4
ZA,nominal,10.7417,1989,1
ZA,nominal,11.2396,1989,2
ZA,nominal,11.6461,1989,3
ZA,nominal,11.9002,1989,4
ZA,nominal,12.4083,1990,1
ZA,nominal,12.9774,1990,2
ZA,nominal,13.2823,1990,3
ZA,nominal,13.5465,1990,4
ZA,nominal,13.9733,1991,1
ZA,nominal,14.5627,1991,2
ZA,nominal,15.1217,1991,3
ZA,nominal,15.5587,1991,4
ZA,nominal,15.6298,1992,1
ZA,nominal,15.3452,1992,2
ZA,nominal,15.2335,1992,3
ZA,nominal,15.6095,1992,4
ZA,nominal,15.8635,1993,1
ZA,nominal,15.9956,1993,2
ZA,nominal,16.3513,1993,3
ZA,nominal,16.6867,1993,4
ZA,nominal,17.1338,1994,1
ZA,nominal,17.7944,1994,2
ZA,nominal,18.3025,1994,3
ZA,nominal,18.6074,1994,4
ZA,nominal,18.9935,1995,1
ZA,nominal,19.3391,1995,2
ZA,nominal,19.4204,1995,3
ZA,nominal,19.522,1995,4
ZA,nominal,19.7761,1996,1
ZA,nominal,19.9488,1996,2
ZA,nominal,20.0606,1996,3
ZA,nominal,20.274,1996,4
ZA,nominal,20.5077,1997,1
ZA,nominal,21.1175,1997,2
ZA,nominal,22.2049,1997,3
ZA,nominal,23.3735,1997,4
ZA,nominal,24.1256,1998,1
ZA,nominal,24.6032,1998,2
ZA,nominal,25.2434,1998,3
ZA,nominal,25.2739,1998,4
ZA,nominal,25.2129,1999,1
ZA,nominal,25.7922,1999,2
ZA,nominal,26.1479,1999,3
ZA,nominal,26.971,1999,4
ZA,nominal,31.0218,2000,1
ZA,nominal,30.8189,2000,2
ZA,nominal,30.22,2000,3
ZA,nominal,29.8984,2000,4
ZA,nominal,30.3325,2001,1
ZA,nominal,30.9505,2001,2
ZA,nominal,31.9382,2001,3
ZA,nominal,33.1048,2001,4
ZA,nominal,34.175,2002,1
ZA,nominal,35.1727,2002,2
ZA,nominal,36.27,2002,3
ZA,nominal,37.6436,2002,4
ZA,nominal,39.2413,2003,1
ZA,nominal,41.1665,2003,2
ZA,nominal,43.6313,2003,3
ZA,nominal,47.1221,2003,4
ZA,nominal,51.2569,2004,1
ZA,nominal,55.0481,2004,2
ZA,nominal,58.8885,2004,3
ZA,nominal,63.6654,2004,4
ZA,nominal,68.4514,2005,1
ZA,nominal,72.0105,2005,2
ZA,nominal,75.2359,2005,3
ZA,nominal,78.6051,2005,4
ZA,nominal,81.5754,2006,1
ZA,nominal,84.4964,2006,2
ZA,nominal,87.4033,2006,3
ZA,nominal,90.0771,2006,4
ZA,nominal,93.4865,2007,1
ZA,nominal,97.8514,2007,2
ZA,nominal,100.7423,2007,3
ZA,nominal,101.1885,2007,4
ZA,nominal,100.1485,2008,1
ZA,nominal,97.7228,2008,2
ZA,nominal,95.7262,2008,3
ZA,nominal,95.5022,2008,4
ZA,nominal,95.4509,2009,1
ZA,nominal,95.0651,2009,2
ZA,nominal,95.5012,2009,3
ZA,nominal,97.0727,2009,4
ZA,nominal,99.015,2010,1
ZA,nominal,99.7415,2010,2
ZA,nominal,99.9505,2010,3
ZA,nominal,101.293,2010,4
ZA,nominal,102.2124,2011,1
ZA,nominal,102.8866,2011,2
ZA,nominal,103.9969,2011,3
ZA,nominal,105.262,2011,4
ZA,nominal,106.9973,2012,1
ZA,nominal,107.7208,2012,2
ZA,nominal,108.6,2012,3
ZA,nominal,110.3052,2012,4
ZA,nominal,112.3389,2013,1
ZA,nominal,114.3205,2013,2
ZA,nominal,116.3653,2013,3
ZA,nominal,118.597,2013,4
ZA,nominal,121.31,2014,1
ZA,nominal,123.4724,2014,2
ZA,nominal,124.849,2014,3
ZA,nominal,126.322,2014,4
ZA,nominal,128.8492,2015,1
ZA,nominal,131.0427,2015,2
ZA,nominal,132.4997,2015,3
ZA,nominal,134.7977,2015,4
ZA,nominal,136.4134,2016,1
ZA,nominal,137.5378,2016,2
ZA,nominal,138.9195,2016,3
ZA,nominal,140.0348,2016,4
ZA,nominal,141.5039,2017,1
ZA,nominal,143.4663,2017,2
ZA,nominal,144.7605,2017,3
ZA,nominal,146.0165,2017,4
ZA,nominal,147.0666,2018,1
ZA,nominal,148.409,2018,2
ZA,nominal,149.5686,2018,3
ZA,nominal,150.7944,2018,4
ZA,nominal,151.8626,2019,1
ZA,nominal,152.3529,2019,2
ZA,nominal,152.7378,2019,3
ZA,nominal,153.7968,2019,4
ZA,nominal,153.7577,2020,1
ZA,nominal,154.2289,2020,2
ZA,nominal,157.0434,2020,3
