freq,unit,asset10,geo,time,value
A,PC_GDP,N111G,EA,2003,6.0
A,PC_GDP,N111G,EA,2004,6.2
A,PC_GDP,N111G,EA,2005,6.4
A,PC_GDP,N111G,EA,2006,6.7
A,PC_GDP,N111G,EA,2007,6.7
A,PC_GDP,N111G,EA,2008,6.4
A,PC_GDP,N111G,EA,2009,5.8
A,PC_GDP,N111G,EA,2010,5.5
A,PC_GDP,N111G,EA,2011,5.4
A,PC_GDP,N111G,EA,2012,5.2
A,PC_GDP,N111G,EA,2013,5.0
A,PC_GDP,N111G,EA,2014,5.0
A,PC_GDP,N111G,EA,2015,4.8
A,PC_GDP,N111G,EA,2016,5.0
A,PC_GDP,N111G,EA,2017,5.2
A,PC_GDP,N111G,EA,2018,5.4
A,PC_GDP,N111G,EA,2019,5.5
A,PC_GDP,N111G,EA,2020,5.7
A,PC_GDP,N111G,EA,2021,6.1
A,PC_GDP,N111G,EA,2022,6.3
A,PC_GDP,N111G,EA,2023,6.1
A,PC_GDP,N111G,EA,2024,5.4
A,PC_GDP,N111G,EA,2025,5.3
A,PC_GDP,N111G,EA12,1995,6.3
A,PC_GDP,N111G,EA12,1996,6.1
A,PC_GDP,N111G,EA12,1997,6.0
A,PC_GDP,N111G,EA12,1998,6.0
A,PC_GDP,N111G,EA12,1999,6.1
A,PC_GDP,N111G,EA12,2000,6.2
A,PC_GDP,N111G,EA12,2001,6.0
A,PC_GDP,N111G,EA12,2002,5.9
A,PC_GDP,N111G,EA12,2003,6.0
A,PC_GDP,N111G,EA12,2004,6.2
A,PC_GDP,N111G,EA12,2005,6.4
A,PC_GDP,N111G,EA12,2006,6.7
A,PC_GDP,N111G,EA12,2007,6.7
A,PC_GDP,N111G,EA12,2008,6.4
A,PC_GDP,N111G,EA12,2009,5.8
A,PC_GDP,N111G,EA12,2010,5.6
A,PC_GDP,N111G,EA12,2011,5.4
A,PC_GDP,N111G,EA12,2012,5.3
A,PC_GDP,N111G,EA12,2013,5.1
A,PC_GDP,N111G,EA12,2014,5.0
A,PC_GDP,N111G,EA12,2015,4.9
A,PC_GDP,N111G,EA12,2016,5.1
A,PC_GDP,N111G,EA12,2017,5.2
A,PC_GDP,N111G,EA12,2018,5.4
A,PC_GDP,N111G,EA12,2019,5.5
A,PC_GDP,N111G,EA12,2020,5.8
A,PC_GDP,N111G,EA12,2021,6.1
A,PC_GDP,N111G,EA12,2022,6.3
A,PC_GDP,N111G,EA12,2023,6.2
A,PC_GDP,N111G,EA12,2024,5.5
A,PC_GDP,N111G,EA12,2025,5.4
A,PC_GDP,N111G,EA19,1995,6.2
A,PC_GDP,N111G,EA19,1996,6.1
A,PC_GDP,N111G,EA19,1997,6.0
A,PC_GDP,N111G,EA19,1998,6.0
