mes,indice,keyword,fecha_descarga
2013-01-20,37.18949343339587,comprar piso,2026-07-19
2013-01-27,38.87992495309568,comprar piso,2026-07-19
2013-02-03,38.034709193245774,comprar piso,2026-07-19
2013-02-10,32.96341463414634,comprar piso,2026-07-19
2013-02-17,42.26078799249531,comprar piso,2026-07-19
2013-02-24,33.808630393996246,comprar piso,2026-07-19
2013-03-03,36.34427767354597,comprar piso,2026-07-19
2013-03-10,38.034709193245774,comprar piso,2026-07-19
2013-03-17,42.26078799249531,comprar piso,2026-07-19
2013-03-24,46.48686679174484,comprar piso,2026-07-19
2013-03-31,42.26078799249531,comprar piso,2026-07-19
2013-04-07,37.18949343339587,comprar piso,2026-07-19
2013-04-14,36.34427767354597,comprar piso,2026-07-19
2013-04-21,38.87992495309568,comprar piso,2026-07-19
2013-04-28,37.18949343339587,comprar piso,2026-07-19
2013-05-05,37.18949343339587,comprar piso,2026-07-19
2013-05-12,36.34427767354597,comprar piso,2026-07-19
2013-05-19,41.4155722326454,comprar piso,2026-07-19
2013-05-26,38.87992495309568,comprar piso,2026-07-19
2013-06-02,36.34427767354597,comprar piso,2026-07-19
2013-06-09,38.87992495309568,comprar piso,2026-07-19
2013-06-16,32.96341463414634,comprar piso,2026-07-19
2013-06-23,33.808630393996246,comprar piso,2026-07-19
2013-06-30,38.034709193245774,comprar piso,2026-07-19
2013-07-07,36.34427767354597,comprar piso,2026-07-19
2013-07-14,36.34427767354597,comprar piso,2026-07-19
2013-07-21,38.034709193245774,comprar piso,2026-07-19
2013-07-28,39.72514071294559,comprar piso,2026-07-19
2013-08-04,40.570356472795496,comprar piso,2026-07-19
2013-08-11,43.10600375234522,comprar piso,2026-07-19
2013-08-18,48.17729831144465,comprar piso,2026-07-19
2013-08-25,47.332082551594745,comprar piso,2026-07-19
2013-09-01,43.951219512195124,comprar piso,2026-07-19
2013-09-08,39.72514071294559,comprar piso,2026-07-19
2013-09-15,43.951219512195124,comprar piso,2026-07-19
2013-09-22,42.26078799249531,comprar piso,2026-07-19
2013-09-29,39.72514071294559,comprar piso,2026-07-19
2013-10-06,41.4155722326454,comprar piso,2026-07-19
2013-10-13,44.796435272045024,comprar piso,2026-07-19
2013-10-20,42.26078799249531,comprar piso,2026-07-19
2013-10-27,38.87992495309568,comprar piso,2026-07-19
2013-11-03,43.10600375234522,comprar piso,2026-07-19
2013-11-10,39.72514071294559,comprar piso,2026-07-19
2013-11-17,38.87992495309568,comprar piso,2026-07-19
2013-11-24,43.10600375234522,comprar piso,2026-07-19
2013-12-01,38.034709193245774,comprar piso,2026-07-19
2013-12-08,37.18949343339587,comprar piso,2026-07-19
2013-12-15,33.808630393996246,comprar piso,2026-07-19
2013-12-22,38.034709193245774,comprar piso,2026-07-19
2013-12-29,43.10600375234522,comprar piso,2026-07-19
2014-01-05,43.951219512195124,comprar piso,2026-07-19
2014-01-12,47.332082551594745,comprar piso,2026-07-19
2014-01-19,50.712945590994366,comprar piso,2026-07-19
2014-01-26,48.17729831144465,comprar piso,2026-07-19
2014-02-02,48.17729831144465,comprar piso,2026-07-19
2014-02-09,44.796435272045024,comprar piso,2026-07-19
2014-02-16,50.712945590994366,comprar piso,2026-07-19
2014-02-23,47.332082551594745,comprar piso,2026-07-19
2014-03-02,46.48686679174484,comprar piso,2026-07-19
2014-03-09,48.17729831144465,comprar piso,2026-07-19
2014-03-16,48.17729831144465,comprar piso,2026-07-19
2014-03-23,44.796435272045024,comprar piso,2026-07-19
2014-03-30,46.48686679174484,comprar piso,2026-07-19
2014-04-06,41.4155722326454,comprar piso,2026-07-19
2014-04-13,42.26078799249531,comprar piso,2026-07-19
